pocket,own_score,cross_score,n_mols,specificity,arm
complex_000001,-7.5570205,-7.0970445,20,0.45997600000000016,critic_r2
complex_000026,-7.762745499999999,-8.096762833333333,20,-0.3340173333333336,critic_r2
complex_000051,-8.1008425,-7.767816333333333,20,0.3330261666666674,critic_r2
complex_000059,-8.19482,-6.987999,20,1.2068209999999997,critic_r2
complex_000063,-6.934666,-7.456849833333333,20,-0.5221838333333331,critic_r2
complex_000069,-6.989938,-6.512119,20,0.4778190000000002,critic_r2
complex_000085,-9.849509000000001,-8.728207166666666,20,1.1213018333333356,critic_r2
complex_000112,-6.975362,-7.3881326666666665,20,-0.41277066666666684,critic_r2
complex_000117,-7.696457,-7.552013166666667,20,0.14444383333333288,critic_r2
complex_000140,-9.4128305,-8.516157333333334,20,0.8966731666666661,critic_r2
complex_000141,-7.137832,-7.469358833333334,20,-0.3315268333333332,critic_r2
complex_000145,-5.509002499999999,-6.931380333333333,20,-1.422377833333334,critic_r2
complex_000148,-6.767338499999999,-7.2670528333333335,20,-0.49971433333333426,critic_r2
complex_000149,-8.0136415,-7.535252666666667,20,0.4783888333333337,critic_r2
complex_000165,-6.964999000000001,-6.894229833333333,20,0.07076916666666744,critic_r2
complex_000170,-9.0003515,-7.5896333333333335,20,1.4107181666666673,critic_r2
complex_000177,-7.387956,-7.687028833333333,20,-0.2990728333333328,critic_r2
complex_000179,-8.3736095,-6.976575333333333,20,1.3970341666666677,critic_r2
complex_000191,-5.4571784999999995,-5.85038,20,-0.39320150000000087,critic_r2
complex_000193,-6.3730875,-6.243103333333334,20,0.12998416666666568,critic_r2
complex_000223,-4.8845755,-6.7522575,20,-1.8676819999999994,critic_r2
complex_000236,-8.5262295,-8.220444166666667,20,0.3057853333333327,critic_r2
complex_000266,-7.648854,-7.588767166666667,20,0.06008683333333309,critic_r2
complex_000269,-6.355243,-7.006436666666667,20,-0.6511936666666669,critic_r2
complex_000292,-5.511603,-5.735932,20,-0.224329,critic_r2
complex_000305,-8.298584,-7.604355666666667,20,0.6942283333333332,critic_r2
complex_000335,-5.406519,-6.301207166666667,20,-0.8946881666666666,critic_r2
complex_000363,-9.2929815,-8.705050166666666,20,0.5879313333333336,critic_r2
complex_000374,-8.816913,-7.8233635,20,0.9935494999999994,critic_r2
complex_000376,-8.21551,-6.864766833333333,20,1.3507431666666667,critic_r2
complex_000382,-9.074949499999999,-7.251926833333333,20,1.8230226666666658,critic_r2
complex_000387,-8.505347500000001,-7.518702,20,0.9866455000000007,critic_r2
complex_000394,-7.935071499999999,-7.521582499999999,20,0.4134890000000002,critic_r2
complex_000400,-9.9547925,-8.5161985,20,1.4385940000000002,critic_r2
complex_000403,-7.1900995,-6.519212499999999,20,0.6708870000000005,critic_r2
complex_000411,-6.997968,-6.4519005,20,0.5460675000000004,critic_r2
complex_000426,-7.892073999999999,-6.890012166666667,20,1.0020618333333324,critic_r2
complex_000456,-7.1761675,-7.5450225,20,-0.36885499999999993,critic_r2
complex_000472,-8.663756,-7.248089166666667,20,1.415666833333332,critic_r2
complex_000473,-6.752064,-6.8527085,20,-0.10064450000000047,critic_r2
complex_000477,-6.3997285,-6.255540999999999,20,0.14418750000000102,critic_r2
complex_000506,-6.4435535,-7.560806166666667,20,-1.1172526666666664,critic_r2
complex_000535,-6.8617515,-6.268233166666667,20,0.5935183333333329,critic_r2
complex_000540,-8.4762605,-7.533978,20,0.9422825000000001,critic_r2
complex_000001,-7.5055760000000005,-6.728844166666666,20,0.7767318333333346,control_r2
complex_000026,-7.811655999999999,-8.028539833333333,20,-0.21688383333333405,control_r2
complex_000051,-7.2046019999999995,-7.614835666666666,20,-0.4102336666666666,control_r2
complex_000059,-8.4259525,-7.2895528333333335,20,1.1363996666666658,control_r2
complex_000063,-7.1300105,-7.0801505,20,0.04985999999999979,control_r2
complex_000069,-7.9418875,-7.034860333333333,20,0.9070271666666674,control_r2
complex_000085,-8.8866575,-7.413447000000001,20,1.4732104999999995,control_r2
complex_000112,-7.205567500000001,-8.067268666666667,20,-0.8617011666666663,control_r2
complex_000117,-7.9018749999999995,-7.555448833333333,20,0.34642616666666637,control_r2
complex_000140,-7.8737375,-6.9594035,20,0.9143340000000002,control_r2
complex_000141,-7.016463999999999,-7.048821,20,-0.03235700000000108,control_r2
complex_000145,-5.6437665,-6.352689333333333,20,-0.7089228333333333,control_r2
complex_000148,-6.9498465,-6.7188843333333335,20,0.23096216666666614,control_r2
complex_000149,-7.9536225,-6.800098166666667,20,1.1535243333333325,control_r2
complex_000165,-7.587765999999999,-6.582026166666667,20,1.0057398333333323,control_r2
complex_000170,-8.653231,-7.148464833333334,20,1.5047661666666663,control_r2
complex_000177,-7.496487,-5.360442666666667,20,2.1360443333333334,control_r2
complex_000179,-7.9516785,-7.397682666666666,20,0.5539958333333335,control_r2
complex_000191,-5.2812244999999995,-6.875483166666667,20,-1.5942586666666676,control_r2
complex_000193,-5.908761,-6.112477166666666,20,-0.20371616666666625,control_r2
complex_000223,-4.9632890000000005,-6.23684,20,-1.2735509999999994,control_r2
complex_000236,-8.1367245,-7.481333333333334,20,0.6553911666666661,control_r2
complex_000266,-8.07231,-7.7622935,20,0.3100164999999997,control_r2
complex_000269,-5.94879,-6.325245333333333,20,-0.37645533333333336,control_r2
complex_000292,-5.61794,-6.210542833333333,20,-0.5926028333333333,control_r2
complex_000305,-7.9225325,-7.609958333333334,20,0.31257416666666593,control_r2
complex_000335,-6.084266,-6.717303833333333,20,-0.6330378333333329,control_r2
complex_000363,-9.3328225,-6.8917901666666666,20,2.441032333333334,control_r2
complex_000374,-9.125226000000001,-7.935461,20,1.1897650000000013,control_r2
complex_000376,-7.549189,-5.336570666666666,20,2.2126183333333342,control_r2
complex_000382,-8.556390500000001,-7.661725166666667,20,0.8946653333333341,control_r2
complex_000387,-8.692189,-6.784746999999999,20,1.9074420000000014,control_r2
complex_000394,-7.723533000000001,-7.6409571666666665,20,0.08257583333333418,control_r2
complex_000400,-9.401647,-7.462866166666667,20,1.9387808333333334,control_r2
complex_000403,-7.110646,-7.333704,20,-0.22305799999999998,control_r2
complex_000411,-7.2355495,-6.6428855,20,0.5926640000000001,control_r2
complex_000426,-7.008181,-6.934832666666667,20,0.07334833333333357,control_r2
complex_000456,-7.879079,-7.349539166666667,20,0.5295398333333328,control_r2
complex_000472,-8.911637500000001,-7.880844166666667,20,1.0307933333333343,control_r2
complex_000473,-6.6391645,-6.2772635,20,0.3619009999999996,control_r2
complex_000477,-6.853936,-7.352215666666667,20,-0.4982796666666669,control_r2
complex_000506,-6.5054785,-7.079468833333333,20,-0.5739903333333336,control_r2
complex_000535,-7.459658,-7.1812138333333335,20,0.2784441666666666,control_r2
complex_000540,-7.412314499999999,-7.135409666666666,20,0.27690483333333304,control_r2
