pocket,critic_r2__own,critic_r2__cross,critic_r2__specificity,control_r2__own,control_r2__cross,control_r2__specificity
complex_000001,-7.5570205,-7.0970445,0.45997600000000016,-7.5055760000000005,-6.728844166666666,0.7767318333333346
complex_000026,-7.762745499999999,-8.096762833333333,-0.3340173333333336,-7.811655999999999,-8.028539833333333,-0.21688383333333405
complex_000051,-8.1008425,-7.767816333333333,0.3330261666666674,-7.2046019999999995,-7.614835666666666,-0.4102336666666666
complex_000059,-8.19482,-6.987999,1.2068209999999997,-8.4259525,-7.2895528333333335,1.1363996666666658
complex_000063,-6.934666,-7.456849833333333,-0.5221838333333331,-7.1300105,-7.0801505,0.04985999999999979
complex_000069,-6.989938,-6.512119,0.4778190000000002,-7.9418875,-7.034860333333333,0.9070271666666674
complex_000085,-9.849509000000001,-8.728207166666666,1.1213018333333356,-8.8866575,-7.413447000000001,1.4732104999999995
complex_000112,-6.975362,-7.3881326666666665,-0.41277066666666684,-7.205567500000001,-8.067268666666667,-0.8617011666666663
complex_000117,-7.696457,-7.552013166666667,0.14444383333333288,-7.9018749999999995,-7.555448833333333,0.34642616666666637
complex_000140,-9.4128305,-8.516157333333334,0.8966731666666661,-7.8737375,-6.9594035,0.9143340000000002
complex_000141,-7.137832,-7.469358833333334,-0.3315268333333332,-7.016463999999999,-7.048821,-0.03235700000000108
complex_000145,-5.509002499999999,-6.931380333333333,-1.422377833333334,-5.6437665,-6.352689333333333,-0.7089228333333333
complex_000148,-6.767338499999999,-7.2670528333333335,-0.49971433333333426,-6.9498465,-6.7188843333333335,0.23096216666666614
complex_000149,-8.0136415,-7.535252666666667,0.4783888333333337,-7.9536225,-6.800098166666667,1.1535243333333325
complex_000165,-6.964999000000001,-6.894229833333333,0.07076916666666744,-7.587765999999999,-6.582026166666667,1.0057398333333323
complex_000170,-9.0003515,-7.5896333333333335,1.4107181666666673,-8.653231,-7.148464833333334,1.5047661666666663
complex_000177,-7.387956,-7.687028833333333,-0.2990728333333328,-7.496487,-5.360442666666667,2.1360443333333334
complex_000179,-8.3736095,-6.976575333333333,1.3970341666666677,-7.9516785,-7.397682666666666,0.5539958333333335
complex_000191,-5.4571784999999995,-5.85038,-0.39320150000000087,-5.2812244999999995,-6.875483166666667,-1.5942586666666676
complex_000193,-6.3730875,-6.243103333333334,0.12998416666666568,-5.908761,-6.112477166666666,-0.20371616666666625
complex_000223,-4.8845755,-6.7522575,-1.8676819999999994,-4.9632890000000005,-6.23684,-1.2735509999999994
complex_000236,-8.5262295,-8.220444166666667,0.3057853333333327,-8.1367245,-7.481333333333334,0.6553911666666661
complex_000266,-7.648854,-7.588767166666667,0.06008683333333309,-8.07231,-7.7622935,0.3100164999999997
complex_000269,-6.355243,-7.006436666666667,-0.6511936666666669,-5.94879,-6.325245333333333,-0.37645533333333336
complex_000292,-5.511603,-5.735932,-0.224329,-5.61794,-6.210542833333333,-0.5926028333333333
complex_000305,-8.298584,-7.604355666666667,0.6942283333333332,-7.9225325,-7.609958333333334,0.31257416666666593
complex_000335,-5.406519,-6.301207166666667,-0.8946881666666666,-6.084266,-6.717303833333333,-0.6330378333333329
complex_000363,-9.2929815,-8.705050166666666,0.5879313333333336,-9.3328225,-6.8917901666666666,2.441032333333334
complex_000374,-8.816913,-7.8233635,0.9935494999999994,-9.125226000000001,-7.935461,1.1897650000000013
complex_000376,-8.21551,-6.864766833333333,1.3507431666666667,-7.549189,-5.336570666666666,2.2126183333333342
complex_000382,-9.074949499999999,-7.251926833333333,1.8230226666666658,-8.556390500000001,-7.661725166666667,0.8946653333333341
complex_000387,-8.505347500000001,-7.518702,0.9866455000000007,-8.692189,-6.784746999999999,1.9074420000000014
complex_000394,-7.935071499999999,-7.521582499999999,0.4134890000000002,-7.723533000000001,-7.6409571666666665,0.08257583333333418
complex_000400,-9.9547925,-8.5161985,1.4385940000000002,-9.401647,-7.462866166666667,1.9387808333333334
complex_000403,-7.1900995,-6.519212499999999,0.6708870000000005,-7.110646,-7.333704,-0.22305799999999998
complex_000411,-6.997968,-6.4519005,0.5460675000000004,-7.2355495,-6.6428855,0.5926640000000001
complex_000426,-7.892073999999999,-6.890012166666667,1.0020618333333324,-7.008181,-6.934832666666667,0.07334833333333357
complex_000456,-7.1761675,-7.5450225,-0.36885499999999993,-7.879079,-7.349539166666667,0.5295398333333328
complex_000472,-8.663756,-7.248089166666667,1.415666833333332,-8.911637500000001,-7.880844166666667,1.0307933333333343
complex_000473,-6.752064,-6.8527085,-0.10064450000000047,-6.6391645,-6.2772635,0.3619009999999996
complex_000477,-6.3997285,-6.255540999999999,0.14418750000000102,-6.853936,-7.352215666666667,-0.4982796666666669
complex_000506,-6.4435535,-7.560806166666667,-1.1172526666666664,-6.5054785,-7.079468833333333,-0.5739903333333336
complex_000535,-6.8617515,-6.268233166666667,0.5935183333333329,-7.459658,-7.1812138333333335,0.2784441666666666
complex_000540,-8.4762605,-7.533978,0.9422825000000001,-7.412314499999999,-7.135409666666666,0.27690483333333304
