pocket,own_score,cross_score,n_mols,specificity,arm
complex_000001,-7.5420345,-7.765062,20,-0.2230275000000006,critic_r0
complex_000026,-7.7874905,-7.274618,20,0.5128724999999994,critic_r0
complex_000051,-7.607269,-7.692366833333334,20,-0.0850978333333341,critic_r0
complex_000059,-8.236799999999999,-7.896181166666667,20,0.3406188333333322,critic_r0
complex_000063,-6.916383000000001,-7.158554833333333,20,-0.24217183333333203,critic_r0
complex_000069,-8.2768175,-7.2857631666666665,20,0.9910543333333335,critic_r0
complex_000085,-9.3165805,-8.023727,20,1.2928535000000014,critic_r0
complex_000112,-7.0744895,-7.0929915,20,-0.018501999999999796,critic_r0
complex_000117,-7.264409000000001,-7.251319499999999,20,0.013089500000001308,critic_r0
complex_000140,-9.138932,-7.905692166666666,20,1.233239833333334,critic_r0
complex_000141,-7.339159499999999,-7.038967333333333,20,0.30019216666666626,critic_r0
complex_000145,-5.6024815,-7.053299666666666,20,-1.4508181666666662,critic_r0
complex_000148,-7.336965999999999,-7.980531833333333,20,-0.6435658333333336,critic_r0
complex_000149,-7.2572785,-6.402869333333333,20,0.8544091666666667,critic_r0
complex_000165,-6.827120000000001,-7.080408,20,-0.2532879999999995,critic_r0
complex_000170,-9.2934455,-7.181779333333334,20,2.1116661666666667,critic_r0
complex_000177,-7.205277,-7.520652833333333,20,-0.3153758333333334,critic_r0
complex_000179,-8.816848,-6.632154666666667,20,2.1846933333333336,critic_r0
complex_000191,-5.40689,-6.426608666666667,20,-1.0197186666666669,critic_r0
complex_000193,-6.420668000000001,-6.483324666666666,20,-0.06265666666666547,critic_r0
complex_000223,-4.670251,-6.173522,20,-1.5032709999999998,critic_r0
complex_000236,-7.746894500000001,-7.729431166666667,20,0.01746333333333361,critic_r0
complex_000266,-7.756838999999999,-7.2599244999999994,20,0.4969144999999999,critic_r0
complex_000269,-6.264196,-7.8226743333333335,20,-1.5584783333333334,critic_r0
complex_000292,-5.794682,-6.303858166666667,20,-0.5091761666666672,critic_r0
complex_000305,-8.5489255,-7.630965166666667,20,0.9179603333333324,critic_r0
complex_000335,-5.570254,-6.3689219999999995,20,-0.7986679999999993,critic_r0
complex_000363,-9.491051,-7.955074166666666,20,1.5359768333333346,critic_r0
