pocket,own_score,cross_score,n_mols,specificity,arm
complex_000001,-7.6527895,-7.4740443333333335,20.0,0.1787451666666664,critic_r1
complex_000026,-7.6622855,-7.778018666666667,20.0,-0.11573316666666678,critic_r1
complex_000051,-8.257662999999999,-8.085678,20.0,0.1719849999999994,critic_r1
complex_000059,-9.1280515,-7.827004166666667,20.0,1.301047333333333,critic_r1
complex_000063,-7.179968,-7.670727833333333,20.0,-0.4907598333333336,critic_r1
complex_000069,-7.822185500000001,-7.7134925,20.0,0.1086930000000006,critic_r1
complex_000085,-9.3067915,-8.2699305,20.0,1.036861,critic_r1
complex_000112,-7.2133905,-7.232820333333334,20.0,-0.01942983333333359,critic_r1
complex_000117,-7.642992,-6.946376166666667,20.0,0.6966158333333325,critic_r1
complex_000140,-8.928992,-8.469672,20.0,0.45931999999999995,critic_r1
complex_000141,-7.4740965,-7.749982666666667,20.0,-0.275886166666667,critic_r1
complex_000145,-5.6051965,-7.360234,20.0,-1.7550375000000003,critic_r1
complex_000148,-6.7914330000000005,-7.3197236666666665,20.0,-0.528290666666666,critic_r1
complex_000149,-7.761676,-6.935207666666667,20.0,0.8264683333333327,critic_r1
complex_000165,-6.121496,-6.7909630000000005,20.0,-0.6694670000000009,critic_r1
complex_000170,-8.0643325,-7.5858835,20.0,0.47844900000000123,critic_r1
complex_000177,-7.002061500000001,-7.18958,20.0,-0.18751849999999948,critic_r1
complex_000179,-8.829826,-7.113373166666666,20.0,1.7164528333333342,critic_r1
complex_000191,-4.8617655,-5.664017666666667,20.0,-0.8022521666666673,critic_r1
complex_000193,-6.4303725,-6.291390666666667,20.0,0.13898183333333325,critic_r1
complex_000223,-5.217067,-7.641311833333333,20.0,-2.424244833333333,critic_r1
complex_000236,-8.7127645,-8.00863275,20.0,0.7041317500000002,critic_r1
complex_000266,-7.742801,-7.1975887499999995,20.0,0.5452122500000005,critic_r1
complex_000269,-6.3374195,-7.468228833333333,20.0,-1.1308093333333327,critic_r1
complex_000292,-5.637979,-5.943576500000001,20.0,-0.3055975000000011,critic_r1
complex_000305,-8.56117,-7.690043833333333,20.0,0.8711261666666674,critic_r1
complex_000335,-5.4036015,-6.442075666666667,20.0,-1.038474166666667,critic_r1
complex_000363,-9.1691585,-8.906217166666666,20.0,0.2629413333333339,critic_r1
complex_000374,-8.4596835,-7.7021663333333334,20.0,0.7575171666666671,critic_r1
complex_000376,-8.216539000000001,-6.834047833333333,20.0,1.382491166666668,critic_r1
complex_000382,-9.6184845,-7.5875675000000005,20.0,2.0309169999999988,critic_r1
complex_000387,-9.181216000000001,-8.116653333333334,20.0,1.0645626666666672,critic_r1
complex_000394,-8.058782,-7.4225069999999995,20.0,0.6362750000000013,critic_r1
complex_000400,-9.176527,-8.205589999999999,20.0,0.970937000000001,critic_r1
complex_000403,-7.141195000000001,-6.369958833333333,20.0,0.771236166666668,critic_r1
complex_000411,-7.5787284999999995,-6.642822166666666,20.0,0.9359063333333335,critic_r1
complex_000426,-7.669403,-6.596672,20.0,1.072731,critic_r1
complex_000456,-7.6652635,-7.9421870000000006,20.0,-0.27692350000000054,critic_r1
complex_000472,-7.9982035,-6.850511999999999,20.0,1.1476915000000005,critic_r1
complex_000473,-6.3060795,-6.922487333333334,20.0,-0.6164078333333336,critic_r1
complex_000477,-6.9445645,-6.450487,20.0,0.4940775000000004,critic_r1
complex_000506,-6.3319095,-6.900600666666667,20.0,-0.5686911666666665,critic_r1
complex_000535,-7.667663,-6.613219666666667,20.0,1.0544433333333334,critic_r1
complex_000540,-8.127406500000001,-7.3667801666666675,20.0,0.7606263333333336,critic_r1
complex_000001,-7.406522,-6.4515665,20.0,0.9549554999999996,control_r1
complex_000026,-7.4493255000000005,-7.3381915,20.0,0.11113400000000073,control_r1
complex_000063,-7.2304975,-7.0957159999999995,20.0,0.13478150000000078,control_r1
complex_000069,-7.2637529999999995,-6.612781333333333,20.0,0.6509716666666661,control_r1
complex_000085,-9.8638625,-8.061175666666667,20.0,1.8026868333333326,control_r1
complex_000112,-7.160970999999999,-7.4614015,20.0,-0.30043050000000093,control_r1
complex_000117,-7.6031949999999995,-7.5130975,20.0,0.09009749999999972,control_r1
complex_000140,-8.9130945,-7.8098845,20.0,1.1032099999999998,control_r1
complex_000141,-6.9841675,-6.915389666666667,20.0,0.06877783333333287,control_r1
complex_000145,-5.257289,-5.821060666666667,20.0,-0.5637716666666668,control_r1
complex_000148,-7.000209,-6.804885666666666,20.0,0.19532333333333352,control_r1
complex_000149,-8.040172,-7.2705528333333325,20.0,0.7696191666666676,control_r1
complex_000165,-7.1323859999999994,-6.326159666666666,20.0,0.806226333333333,control_r1
complex_000170,-9.450127499999999,-7.504946333333334,20.0,1.9451811666666652,control_r1
complex_000177,-7.518778500000001,-6.023740833333333,20.0,1.4950376666666676,control_r1
complex_000179,-8.3634475,-7.777149,20.0,0.5862984999999998,control_r1
complex_000191,-4.7221905,-5.8875,20.0,-1.1653095000000002,control_r1
complex_000193,-6.153513,-6.203161666666667,20.0,-0.04964866666666712,control_r1
complex_000223,-4.9856485,-6.393151666666667,20.0,-1.4075031666666673,control_r1
complex_000236,-8.385795,-7.4919009999999995,20.0,0.8938940000000004,control_r1
complex_000266,-6.9815055,-6.881023833333333,20.0,0.10048166666666702,control_r1
complex_000269,-6.3645745,-6.9866755000000005,20.0,-0.6221010000000007,control_r1
complex_000292,-6.043874000000001,-6.499213,20.0,-0.4553389999999995,control_r1
complex_000305,-7.8077195,-7.6575948333333335,20.0,0.15012466666666668,control_r1
complex_000335,-5.8151765,-6.387049,20.0,-0.5718725000000004,control_r1
complex_000363,-9.499791,-7.071662833333334,20.0,2.4281281666666663,control_r1
complex_000374,-9.226732,-8.061023333333333,20.0,1.1657086666666672,control_r1
complex_000376,-7.996720000000001,-5.9027025,20.0,2.0940175000000005,control_r1
