arm,pocket,receptor,mol_idx,score
critic_r0,complex_000063,complex_000063,6,-8.2962
critic_r0,complex_000063,complex_000063,7,-7.68269
critic_r0,complex_000063,complex_000063,8,-9.10262
critic_r0,complex_000063,complex_000063,9,-7.68431
critic_r0,complex_000063,complex_000063,10,-6.45564
critic_r0,complex_000063,complex_000063,11,-6.71008
critic_r0,complex_000063,complex_000063,12,-5.11538
critic_r0,complex_000063,complex_000063,13,-7.32411
critic_r0,complex_000063,complex_000063,14,-5.19005
critic_r0,complex_000063,complex_000063,15,-5.2943
critic_r0,complex_000063,complex_000063,16,-5.15463
critic_r0,complex_000063,complex_000063,17,-5.86215
critic_r0,complex_000063,complex_000063,18,-4.37035
critic_r0,complex_000063,complex_000063,19,-7.5962
critic_r0,complex_000051,complex_000266,0,-7.87393
critic_r0,complex_000051,complex_000266,1,-9.74466
critic_r0,complex_000051,complex_000266,2,-9.69263
critic_r0,complex_000051,complex_000266,3,-8.65648
critic_r0,complex_000051,complex_000266,4,-8.44745
critic_r0,complex_000051,complex_000266,5,-8.51471
critic_r0,complex_000051,complex_000266,6,-10.52211
critic_r0,complex_000051,complex_000266,7,-7.28681
critic_r0,complex_000051,complex_000266,8,-8.40463
critic_r0,complex_000051,complex_000266,9,-8.78253
critic_r0,complex_000051,complex_000266,10,-6.27414
critic_r0,complex_000051,complex_000266,11,-6.92188
critic_r0,complex_000051,complex_000266,12,-8.79449
critic_r0,complex_000051,complex_000266,13,-8.71148
critic_r0,complex_000051,complex_000266,14,-5.52925
critic_r0,complex_000051,complex_000266,15,-5.57035
critic_r0,complex_000051,complex_000266,16,-8.2014
critic_r0,complex_000051,complex_000266,17,-8.01141
critic_r0,complex_000051,complex_000266,18,-4.89021
critic_r0,complex_000051,complex_000266,19,-9.6567
critic_r0,complex_000051,complex_000363,0,-8.84333
critic_r0,complex_000051,complex_000363,1,-10.94035
critic_r0,complex_000051,complex_000363,2,-11.08021
critic_r0,complex_000051,complex_000363,3,-9.69737
critic_r0,complex_000051,complex_000363,4,-8.96917
critic_r0,complex_000051,complex_000363,5,-8.0331
critic_r0,complex_000051,complex_000363,6,-10.34998
critic_r0,complex_000051,complex_000363,7,-8.28839
critic_r0,complex_000051,complex_000363,8,-8.63374
critic_r0,complex_000051,complex_000363,9,-9.67319
critic_r0,complex_000051,complex_000363,10,-6.14083
critic_r0,complex_000051,complex_000363,11,-8.20908
critic_r0,complex_000051,complex_000363,12,-8.99871
critic_r0,complex_000051,complex_000363,13,-9.02715
critic_r0,complex_000051,complex_000363,14,-6.08828
critic_r0,complex_000051,complex_000363,15,-5.55841
critic_r0,complex_000051,complex_000363,16,-9.45284
critic_r0,complex_000051,complex_000363,17,-7.25562
critic_r0,complex_000051,complex_000363,18,-5.28844
critic_r0,complex_000051,complex_000363,19,-10.38341
critic_r0,complex_000059,complex_000059,0,-6.99482
critic_r0,complex_000059,complex_000059,1,-6.81965
critic_r0,complex_000059,complex_000059,2,-6.68174
critic_r0,complex_000059,complex_000059,3,-7.08318
critic_r0,complex_000059,complex_000059,4,-10.35788
critic_r0,complex_000059,complex_000059,5,-7.72027
critic_r0,complex_000059,complex_000059,6,-9.30849
critic_r0,complex_000059,complex_000059,7,-7.49794
critic_r0,complex_000059,complex_000059,8,-6.3243
critic_r0,complex_000059,complex_000059,9,-10.07376
critic_r0,complex_000059,complex_000059,10,-7.28107
critic_r0,complex_000059,complex_000059,11,-7.98864
critic_r0,complex_000059,complex_000059,12,-9.34562
critic_r0,complex_000059,complex_000059,13,-8.64981
critic_r0,complex_000059,complex_000059,14,-9.82952
critic_r0,complex_000059,complex_000059,15,-7.68835
critic_r0,complex_000059,complex_000059,16,-9.68428
