arm,pocket,receptor,mol_idx,score
critic_r2,complex_000001,complex_000001,0,-9.18155
critic_r2,complex_000001,complex_000001,1,-7.39287
critic_r2,complex_000001,complex_000001,2,-7.67539
critic_r2,complex_000001,complex_000001,3,-6.64787
critic_r2,complex_000001,complex_000001,4,-8.02997
critic_r2,complex_000001,complex_000001,5,-6.85851
critic_r2,complex_000001,complex_000001,6,-8.69097
critic_r2,complex_000001,complex_000001,7,-7.57654
critic_r2,complex_000001,complex_000001,8,-8.43182
critic_r2,complex_000001,complex_000001,9,-6.08022
critic_r2,complex_000001,complex_000001,10,-7.69797
critic_r2,complex_000001,complex_000001,11,-5.70402
critic_r2,complex_000001,complex_000001,12,-7.03392
critic_r2,complex_000001,complex_000001,13,-6.80827
critic_r2,complex_000001,complex_000001,14,-8.44598
critic_r2,complex_000001,complex_000001,15,-5.45962
critic_r2,complex_000001,complex_000001,16,-7.61296
critic_r2,complex_000001,complex_000001,17,-7.80083
critic_r2,complex_000001,complex_000001,18,-9.32284
critic_r2,complex_000001,complex_000001,19,-8.68829
critic_r2,complex_000001,complex_000456,0,-9.10267
critic_r2,complex_000001,complex_000456,1,-6.67027
critic_r2,complex_000001,complex_000456,2,-6.89718
critic_r2,complex_000001,complex_000456,3,-7.49414
critic_r2,complex_000001,complex_000456,4,-8.09963
critic_r2,complex_000001,complex_000456,5,-6.8356
critic_r2,complex_000001,complex_000456,6,-7.66857
critic_r2,complex_000001,complex_000456,7,-6.89916
critic_r2,complex_000001,complex_000456,8,-7.78804
critic_r2,complex_000001,complex_000456,9,-6.89621
critic_r2,complex_000001,complex_000456,10,-7.38149
critic_r2,complex_000001,complex_000456,11,-6.23973
critic_r2,complex_000001,complex_000456,12,-6.37253
critic_r2,complex_000001,complex_000456,13,-6.02297
critic_r2,complex_000001,complex_000456,14,-8.83091
critic_r2,complex_000001,complex_000456,15,-4.86793
critic_r2,complex_000001,complex_000456,16,-6.15226
critic_r2,complex_000001,complex_000456,17,-7.07204
critic_r2,complex_000001,complex_000456,18,-7.75952
critic_r2,complex_000001,complex_000456,19,-8.62396
critic_r2,complex_000001,complex_000170,0,-10.3553
critic_r2,complex_000001,complex_000170,1,-7.74911
critic_r2,complex_000001,complex_000170,2,-9.36297
critic_r2,complex_000001,complex_000170,3,-8.17805
critic_r2,complex_000001,complex_000170,4,-9.01136
critic_r2,complex_000001,complex_000170,5,-9.23734
critic_r2,complex_000001,complex_000170,6,-2.95522
critic_r2,complex_000001,complex_000170,7,-7.94029
critic_r2,complex_000001,complex_000170,8,-1.36767
critic_r2,complex_000001,complex_000170,9,-7.99244
critic_r2,complex_000001,complex_000170,10,-0.48673
critic_r2,complex_000001,complex_000170,11,-6.92229
critic_r2,complex_000001,complex_000170,12,-7.86255
critic_r2,complex_000001,complex_000170,13,-7.33101
critic_r2,complex_000001,complex_000170,14,8.61632
critic_r2,complex_000001,complex_000170,15,-6.04175
critic_r2,complex_000001,complex_000170,16,-8.41441
critic_r2,complex_000001,complex_000170,17,-10.08465
critic_r2,complex_000001,complex_000170,18,-7.35835
critic_r2,complex_000001,complex_000170,19,-7.72042
critic_r2,complex_000001,complex_000363,0,-9.15967
critic_r2,complex_000001,complex_000363,1,-7.3512
critic_r2,complex_000001,complex_000363,2,-7.71752
critic_r2,complex_000001,complex_000363,3,-7.82929
critic_r2,complex_000001,complex_000363,4,-9.60716
critic_r2,complex_000001,complex_000363,5,-7.8152
critic_r2,complex_000001,complex_000363,6,-7.23506
critic_r2,complex_000001,complex_000363,7,-9.44772
critic_r2,complex_000001,complex_000363,8,-6.00274
critic_r2,complex_000001,complex_000363,9,-8.83964
critic_r2,complex_000001,complex_000363,10,-5.55478
critic_r2,complex_000001,complex_000363,11,-7.07473
critic_r2,complex_000001,complex_000363,12,-8.26695
critic_r2,complex_000001,complex_000363,13,-8.99853
critic_r2,complex_000001,complex_000363,14,-3.06818
critic_r2,complex_000001,complex_000363,15,-5.60989
critic_r2,complex_000001,complex_000363,16,-7.08234
critic_r2,complex_000001,complex_000363,17,-8.54389
critic_r2,complex_000001,complex_000363,18,-9.38445
critic_r2,complex_000001,complex_000363,19,-9.80333
critic_r2,complex_000051,complex_000266,0,-7.89631
critic_r2,complex_000051,complex_000266,1,-8.35481
critic_r2,complex_000051,complex_000266,2,-6.67564
critic_r2,complex_000051,complex_000266,3,-9.85372
critic_r2,complex_000051,complex_000266,4,-9.79346
critic_r2,complex_000051,complex_000266,5,-7.86874
critic_r2,complex_000051,complex_000266,6,-7.10273
critic_r2,complex_000051,complex_000266,7,-5.81683
critic_r2,complex_000051,complex_000266,8,-9.51831
critic_r2,complex_000051,complex_000266,9,-10.82891
critic_r2,complex_000051,complex_000266,10,-7.55268
critic_r2,complex_000051,complex_000266,11,-7.49489
critic_r2,complex_000051,complex_000266,12,-8.10791
critic_r2,complex_000051,complex_000266,13,-9.02481
critic_r2,complex_000051,complex_000266,14,-8.03334
critic_r2,complex_000051,complex_000266,15,-11.23758
critic_r2,complex_000051,complex_000266,16,-9.31133
critic_r2,complex_000051,complex_000266,17,-8.72182
critic_r2,complex_000051,complex_000266,18,-5.99268
critic_r2,complex_000051,complex_000266,19,-5.15692
critic_r2,complex_000051,complex_000193,0,-7.56588
critic_r2,complex_000051,complex_000193,1,-6.9445
critic_r2,complex_000051,complex_000193,2,-5.23817
critic_r2,complex_000051,complex_000193,3,-9.01493
critic_r2,complex_000051,complex_000193,4,-8.59099
critic_r2,complex_000051,complex_000193,5,-7.26465
critic_r2,complex_000051,complex_000193,6,-6.49895
critic_r2,complex_000051,complex_000193,7,-5.06558
