arm,pocket,receptor,mol_idx,score
critic_r1,complex_000059,complex_000456,7,-8.94751
critic_r1,complex_000059,complex_000456,8,-7.03151
critic_r1,complex_000059,complex_000456,9,-5.46991
critic_r1,complex_000059,complex_000456,10,-7.1028
critic_r1,complex_000059,complex_000456,11,-9.24238
critic_r1,complex_000059,complex_000456,12,-8.94347
critic_r1,complex_000059,complex_000456,13,-8.20985
critic_r1,complex_000059,complex_000456,14,-8.90696
critic_r1,complex_000059,complex_000456,15,-7.28558
critic_r1,complex_000059,complex_000456,16,-8.7487
critic_r1,complex_000059,complex_000456,17,-7.61454
critic_r1,complex_000059,complex_000456,18,-9.20861
critic_r1,complex_000059,complex_000456,19,-7.00665
critic_r1,complex_000001,complex_000170,0,-8.62621
critic_r1,complex_000001,complex_000170,1,-12.10474
critic_r1,complex_000001,complex_000170,2,-6.49907
critic_r1,complex_000001,complex_000170,3,-8.86013
critic_r1,complex_000001,complex_000170,4,0.41734
critic_r1,complex_000001,complex_000170,5,-3.6953
critic_r1,complex_000001,complex_000170,6,-9.30284
critic_r1,complex_000001,complex_000170,7,-7.91898
critic_r1,complex_000001,complex_000170,8,-6.81662
critic_r1,complex_000001,complex_000170,9,-9.28604
critic_r1,complex_000001,complex_000170,10,-5.09034
critic_r1,complex_000001,complex_000170,11,-9.1035
critic_r1,complex_000001,complex_000170,12,-6.27904
critic_r1,complex_000001,complex_000170,13,-4.55347
critic_r1,complex_000001,complex_000170,14,-5.28595
critic_r1,complex_000001,complex_000170,15,-10.06204
critic_r1,complex_000001,complex_000170,16,-8.74042
critic_r1,complex_000001,complex_000170,17,-5.50919
critic_r1,complex_000001,complex_000170,18,-8.38476
critic_r1,complex_000001,complex_000170,19,-5.84795
critic_r1,complex_000051,complex_000193,0,-8.39388
critic_r1,complex_000051,complex_000193,1,-8.34105
critic_r1,complex_000051,complex_000193,2,-7.36208
critic_r1,complex_000051,complex_000193,3,-7.12103
critic_r1,complex_000051,complex_000193,4,-7.37376
critic_r1,complex_000051,complex_000193,5,-7.98642
critic_r1,complex_000051,complex_000193,6,-9.21004
critic_r1,complex_000051,complex_000193,7,-8.38311
critic_r1,complex_000051,complex_000193,8,-8.6756
critic_r1,complex_000051,complex_000193,9,-9.16945
critic_r1,complex_000051,complex_000193,10,-7.57219
critic_r1,complex_000051,complex_000193,11,-5.68954
critic_r1,complex_000051,complex_000193,12,-7.90663
critic_r1,complex_000051,complex_000193,13,-8.79633
critic_r1,complex_000051,complex_000193,14,-5.48098
critic_r1,complex_000051,complex_000193,15,-6.6328
critic_r1,complex_000051,complex_000193,16,-6.76379
critic_r1,complex_000051,complex_000193,17,-5.83482
critic_r1,complex_000051,complex_000193,18,-6.68891
critic_r1,complex_000051,complex_000193,19,-7.1458
critic_r1,complex_000026,complex_000140,0,-6.14782
critic_r1,complex_000026,complex_000140,1,-8.39807
critic_r1,complex_000026,complex_000140,2,-5.25263
critic_r1,complex_000026,complex_000140,3,-6.00461
critic_r1,complex_000026,complex_000140,4,-9.61131
critic_r1,complex_000026,complex_000140,5,-7.33693
critic_r1,complex_000026,complex_000140,6,-8.77178
critic_r1,complex_000026,complex_000140,7,-9.0264
critic_r1,complex_000026,complex_000140,8,-8.15925
critic_r1,complex_000026,complex_000140,9,-10.04093
critic_r1,complex_000026,complex_000140,10,-9.3188
critic_r1,complex_000026,complex_000140,11,-5.02382
critic_r1,complex_000026,complex_000140,12,-9.19132
critic_r1,complex_000026,complex_000140,13,-5.31842
critic_r1,complex_000026,complex_000140,14,-8.25436
critic_r1,complex_000026,complex_000140,15,-9.72912
critic_r1,complex_000026,complex_000140,16,-9.06779
critic_r1,complex_000026,complex_000140,17,-7.96383
critic_r1,complex_000026,complex_000140,18,-8.98028
critic_r1,complex_000026,complex_000140,19,-5.71054
critic_r1,complex_000059,complex_000266,0,-7.53994
critic_r1,complex_000059,complex_000266,1,-8.01886
critic_r1,complex_000059,complex_000266,2,-8.17583
critic_r1,complex_000059,complex_000266,3,-9.80393
critic_r1,complex_000059,complex_000266,4,-6.9014
critic_r1,complex_000059,complex_000266,5,-10.10173
