arm,pocket,receptor,mol_idx,score
critic,complex_000051,complex_000266,1,-9.74466
critic,complex_000051,complex_000266,2,-7.00326
critic,complex_000051,complex_000266,3,-8.51471
critic,complex_000051,complex_000266,4,-7.28681
critic,complex_000051,complex_000266,5,-6.19286
critic,complex_000051,complex_000266,6,-9.83094
critic,complex_000051,complex_000266,7,-10.33777
critic,complex_000051,complex_000266,8,-8.23202
critic,complex_000051,complex_000266,9,-6.66174
critic,complex_000051,complex_000266,10,-8.96757
critic,complex_000051,complex_000266,11,-5.99983
critic,complex_000051,complex_000266,12,-6.09607
critic,complex_000051,complex_000266,13,-7.3004
critic,complex_000051,complex_000266,14,-6.90143
critic,complex_000051,complex_000266,15,-6.34752
critic,complex_000051,complex_000266,16,-5.57035
critic,complex_000051,complex_000266,17,-8.25313
critic,complex_000051,complex_000266,18,-10.14412
critic,complex_000051,complex_000266,19,-10.31101
critic,complex_000001,complex_000170,0,-5.67847
critic,complex_000001,complex_000170,1,-6.48065
critic,complex_000001,complex_000170,2,-5.37098
critic,complex_000001,complex_000170,3,-7.49972
critic,complex_000001,complex_000170,4,-7.48457
critic,complex_000001,complex_000170,5,-4.27645
critic,complex_000001,complex_000170,6,-5.31185
critic,complex_000001,complex_000170,7,-7.73362
critic,complex_000001,complex_000170,8,5.39023
critic,complex_000001,complex_000170,9,-4.69472
critic,complex_000001,complex_000170,10,-7.76082
critic,complex_000001,complex_000170,11,-8.01216
critic,complex_000001,complex_000170,12,-7.77506
critic,complex_000001,complex_000170,13,-8.7547
critic,complex_000001,complex_000170,14,-9.09609
critic,complex_000001,complex_000170,15,-5.95868
critic,complex_000001,complex_000170,16,-8.54772
critic,complex_000001,complex_000170,17,-9.03785
critic,complex_000001,complex_000170,18,-8.44639
critic,complex_000001,complex_000170,19,-9.53515
critic,complex_000001,complex_000456,0,-8.606
critic,complex_000001,complex_000456,1,-5.46004
critic,complex_000001,complex_000456,2,-7.13607
critic,complex_000001,complex_000456,3,-7.25021
critic,complex_000001,complex_000456,4,-6.01166
critic,complex_000001,complex_000456,5,-8.14426
critic,complex_000001,complex_000456,6,-4.90297
critic,complex_000001,complex_000456,7,-7.76568
critic,complex_000001,complex_000456,8,-9.09137
critic,complex_000001,complex_000456,9,-7.69538
critic,complex_000001,complex_000456,10,-5.69366
critic,complex_000001,complex_000456,11,-7.404
critic,complex_000001,complex_000456,12,-6.72382
critic,complex_000001,complex_000456,13,-7.23847
critic,complex_000001,complex_000456,14,-7.27452
critic,complex_000001,complex_000456,15,-5.71067
critic,complex_000001,complex_000456,16,-7.0985
critic,complex_000001,complex_000456,17,-9.05936
critic,complex_000001,complex_000456,18,-7.3466
critic,complex_000001,complex_000456,19,-9.45981
critic,complex_000001,complex_000363,0,-8.36304
critic,complex_000001,complex_000363,1,-6.0403
critic,complex_000001,complex_000363,2,-9.05979
critic,complex_000001,complex_000363,3,-8.74511
critic,complex_000001,complex_000363,4,-6.79765
critic,complex_000001,complex_000363,5,-7.47413
critic,complex_000001,complex_000363,6,-5.406
critic,complex_000001,complex_000363,7,-7.99852
critic,complex_000001,complex_000363,8,-3.89344
critic,complex_000001,complex_000363,9,-7.00782
critic,complex_000001,complex_000363,10,-6.289
critic,complex_000001,complex_000363,11,-7.52247
critic,complex_000001,complex_000363,12,-8.12669
critic,complex_000001,complex_000363,13,-8.82116
critic,complex_000001,complex_000363,14,-8.35708
critic,complex_000001,complex_000363,15,-6.17965
critic,complex_000001,complex_000363,16,-7.69257
critic,complex_000001,complex_000363,17,-10.49132
critic,complex_000001,complex_000363,18,-9.26771
critic,complex_000001,complex_000363,19,-9.72801
critic,complex_000059,complex_000266,0,-5.58633
critic,complex_000059,complex_000266,1,-8.26395
critic,complex_000059,complex_000266,2,-6.89175
critic,complex_000059,complex_000266,3,-8.78247
critic,complex_000059,complex_000266,4,-6.80414
critic,complex_000059,complex_000266,5,-8.26455
critic,complex_000059,complex_000266,6,-6.49993
critic,complex_000059,complex_000266,7,-8.27652
critic,complex_000059,complex_000266,8,-8.11311
critic,complex_000059,complex_000266,9,-8.78651
critic,complex_000059,complex_000266,10,-7.09083
critic,complex_000059,complex_000266,11,-9.64233
critic,complex_000059,complex_000266,12,-9.62611
critic,complex_000059,complex_000266,13,-7.97493
critic,complex_000059,complex_000266,14,-6.66726
critic,complex_000059,complex_000266,15,-7.70164
critic,complex_000059,complex_000266,16,-9.15303
critic,complex_000059,complex_000266,17,-8.91705
critic,complex_000059,complex_000266,18,-7.28224
critic,complex_000059,complex_000266,19,-7.37244
critic,complex_000059,complex_000059,0,-5.79679
critic,complex_000059,complex_000059,1,-10.81237
critic,complex_000059,complex_000059,2,-6.81965
critic,complex_000059,complex_000059,3,-10.35788
critic,complex_000059,complex_000059,4,-7.10729
critic,complex_000059,complex_000059,5,-9.53098
critic,complex_000059,complex_000059,6,-6.83623
critic,complex_000059,complex_000059,7,-7.72027
critic,complex_000059,complex_000059,8,-10.42724
critic,complex_000059,complex_000059,9,-8.95689
critic,complex_000059,complex_000059,10,-7.68617
critic,complex_000059,complex_000059,11,-11.40092
critic,complex_000059,complex_000059,12,-12.37568
critic,complex_000059,complex_000059,13,-8.64981
critic,complex_000059,complex_000059,14,-7.65113
critic,complex_000059,complex_000059,15,-7.67676
critic,complex_000059,complex_000059,16,-9.93937
critic,complex_000059,complex_000059,17,-10.42235
critic,complex_000059,complex_000059,18,-7.8923
critic,complex_000059,complex_000059,19,-7.70419
critic,complex_000051,complex_000051,0,-9.1179
critic,complex_000051,complex_000051,1,-9.64186
critic,complex_000051,complex_000051,2,-7.91585
critic,complex_000051,complex_000051,3,-8.25174
critic,complex_000051,complex_000051,4,-7.01749
critic,complex_000051,complex_000051,5,-6.33075
critic,complex_000051,complex_000051,6,-10.37211
critic,complex_000051,complex_000051,7,-9.3255
critic,complex_000051,complex_000051,8,-8.63393
critic,complex_000051,complex_000051,9,-6.4387
critic,complex_000051,complex_000051,10,-8.7337
critic,complex_000051,complex_000051,11,-6.50944
critic,complex_000051,complex_000051,12,-6.50087
critic,complex_000051,complex_000051,13,-7.9421
critic,complex_000051,complex_000051,14,-6.66998
critic,complex_000051,complex_000051,15,-6.58685
critic,complex_000051,complex_000051,16,-5.0388
critic,complex_000051,complex_000051,17,-8.79867
critic,complex_000051,complex_000051,18,-10.63673
critic,complex_000051,complex_000051,19,-11.12879
critic,complex_000051,complex_000117,0,-8.64322
critic,complex_000051,complex_000117,1,-9.2067
critic,complex_000051,complex_000117,2,-8.29081
critic,complex_000051,complex_000117,3,-9.28514
critic,complex_000051,complex_000117,4,-6.78644
critic,complex_000051,complex_000117,5,-6.66317
critic,complex_000051,complex_000117,6,-9.06272
critic,complex_000051,complex_000117,7,-8.98391
critic,complex_000051,complex_000117,8,-7.93219
critic,complex_000051,complex_000117,9,-6.42703
critic,complex_000051,complex_000117,10,-8.60598
critic,complex_000051,complex_000117,11,-6.47778
critic,complex_000051,complex_000117,12,-6.79819
critic,complex_000051,complex_000117,13,-7.60527
critic,complex_000051,complex_000117,14,-7.69814
critic,complex_000051,complex_000117,15,-6.89626
critic,complex_000051,complex_000117,16,-5.43598
critic,complex_000051,complex_000117,17,-8.59603
critic,complex_000051,complex_000117,18,-10.40282
critic,complex_000051,complex_000117,19,-8.56919
critic,complex_000059,complex_000292,0,-4.43493
critic,complex_000059,complex_000292,1,-7.16632
critic,complex_000059,complex_000292,2,-5.40105
critic,complex_000059,complex_000292,3,-7.5339
critic,complex_000059,complex_000292,4,-5.86166
critic,complex_000059,complex_000292,5,-6.81566
critic,complex_000059,complex_000292,6,-5.6631
critic,complex_000059,complex_000292,7,-6.23818
critic,complex_000059,complex_000292,8,-7.21728
critic,complex_000059,complex_000292,9,-7.49065
critic,complex_000059,complex_000292,10,-6.28353
critic,complex_000059,complex_000292,11,-8.10056
critic,complex_000059,complex_000292,12,-8.92892
critic,complex_000059,complex_000292,13,-6.88515
critic,complex_000059,complex_000292,14,-5.73676
critic,complex_000059,complex_000292,15,-5.89156
critic,complex_000059,complex_000292,16,-7.4386
critic,complex_000059,complex_000292,17,-7.64789
critic,complex_000059,complex_000292,18,-5.69308
critic,complex_000059,complex_000292,19,-6.45153
critic,complex_000059,complex_000456,0,-5.5442
critic,complex_000059,complex_000456,1,-8.10439
critic,complex_000059,complex_000456,2,-6.65421
critic,complex_000059,complex_000456,3,-7.80488
critic,complex_000059,complex_000456,4,-6.13487
critic,complex_000059,complex_000456,5,-7.39481
critic,complex_000059,complex_000456,6,-6.28085
critic,complex_000059,complex_000456,7,-6.96876
