pocket,tanimoto,recall
complex_000001,0.5263157894736842,0.6666666666666666
complex_000001,0.6470588235294118,0.7333333333333333
complex_000001,0.5625,0.6
complex_000001,0.5,0.5333333333333333
complex_000001,0.5,0.5333333333333333
complex_000001,0.4666666666666667,0.4666666666666667
complex_000001,0.35,0.4666666666666667
complex_000001,0.6,0.6
complex_000001,0.5,0.5333333333333333
complex_000001,0.5,0.6
complex_000001,0.26666666666666666,0.26666666666666666
complex_000001,0.4375,0.4666666666666667
complex_000001,0.26666666666666666,0.26666666666666666
complex_000001,0.38095238095238093,0.5333333333333333
complex_000001,0.2,0.2
complex_000001,0.6666666666666666,0.8
complex_000001,0.3333333333333333,0.4
complex_000001,0.4666666666666667,0.4666666666666667
complex_000001,0.26666666666666666,0.26666666666666666
complex_000001,0.55,0.7333333333333333
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.5,0.6
complex_000001,0.4,0.4
complex_000001,0.5263157894736842,0.6666666666666666
complex_000001,0.5263157894736842,0.6666666666666666
complex_000001,0.4375,0.4666666666666667
complex_000001,0.8125,0.8666666666666667
complex_000001,0.4666666666666667,0.4666666666666667
complex_000001,0.35,0.4666666666666667
complex_000001,0.47368421052631576,0.6
complex_000001,0.6666666666666666,0.6666666666666666
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.5238095238095238,0.7333333333333333
complex_000001,0.5333333333333333,0.5333333333333333
complex_000001,0.5,0.5333333333333333
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.26666666666666666,0.26666666666666666
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.5,0.5333333333333333
complex_000001,0.6,0.6
complex_000001,0.5333333333333333,0.5333333333333333
complex_000001,0.26666666666666666,0.26666666666666666
complex_000001,0.625,0.6666666666666666
complex_000001,0.26666666666666666,0.26666666666666666
complex_000001,0.4375,0.4666666666666667
complex_000001,0.4666666666666667,0.4666666666666667
complex_000001,0.4375,0.4666666666666667
complex_000001,0.6875,0.7333333333333333
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.47058823529411764,0.5333333333333333
complex_000001,0.45,0.6
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.5,0.5333333333333333
complex_000001,0.3157894736842105,0.4
complex_000001,0.4375,0.4666666666666667
complex_000001,0.4,0.4
complex_000001,0.2,0.2
complex_000001,0.5555555555555556,0.6666666666666666
complex_000001,0.3125,0.3333333333333333
complex_000001,0.625,0.6666666666666666
complex_000001,0.5333333333333333,0.5333333333333333
complex_000001,0.4,0.4
complex_000001,0.5882352941176471,0.6666666666666666
complex_000001,0.5882352941176471,0.6666666666666666
complex_000001,0.3888888888888889,0.4666666666666667
complex_000001,0.35294117647058826,0.4
complex_000001,0.47368421052631576,0.6
complex_000001,0.3125,0.3333333333333333
complex_000001,0.375,0.4
complex_000001,0.3,0.4
complex_000001,0.26666666666666666,0.26666666666666666
complex_000001,0.8125,0.8666666666666667
complex_000001,0.3888888888888889,0.4666666666666667
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.4375,0.4666666666666667
complex_000001,0.6470588235294118,0.7333333333333333
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.2,0.2
complex_000001,0.4375,0.4666666666666667
complex_000001,0.2857142857142857,0.4
complex_000001,0.6111111111111112,0.7333333333333333
complex_000001,0.6,0.6
complex_000001,0.4,0.4
complex_000001,0.29411764705882354,0.3333333333333333
complex_000001,0.4375,0.4666666666666667
complex_000001,0.47058823529411764,0.5333333333333333
complex_000001,0.26666666666666666,0.26666666666666666
complex_000001,0.35294117647058826,0.4
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.4117647058823529,0.4666666666666667
complex_000001,0.5,0.6
complex_000001,0.4,0.5333333333333333
complex_000001,0.4,0.5333333333333333
complex_000001,0.4375,0.4666666666666667
complex_000001,0.375,0.4
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.6470588235294118,0.7333333333333333
complex_000001,0.3684210526315789,0.4666666666666667
complex_000001,0.3333333333333333,0.3333333333333333
complex_000001,0.4375,0.4666666666666667
complex_000026,0.7142857142857143,0.8333333333333334
complex_000026,0.5,0.6666666666666666
complex_000026,0.5,0.5
complex_000026,0.6153846153846154,0.6666666666666666
complex_000026,0.47368421052631576,0.75
complex_000026,0.4166666666666667,0.4166666666666667
complex_000026,0.75,0.75
complex_000026,0.5833333333333334,0.5833333333333334
complex_000026,0.6923076923076923,0.75
complex_000026,0.75,0.75
complex_000026,0.5882352941176471,0.8333333333333334
complex_000026,0.75,0.75
complex_000026,0.8461538461538461,0.9166666666666666
complex_000026,0.25,0.25
complex_000026,0.7857142857142857,0.9166666666666666
complex_000026,0.4166666666666667,0.4166666666666667
complex_000026,0.6,0.75
complex_000026,0.5384615384615384,0.5833333333333334
complex_000026,0.5625,0.75
complex_000026,0.5882352941176471,0.8333333333333334
complex_000026,0.8333333333333334,0.8333333333333334
complex_000026,0.5,0.5
complex_000026,0.75,0.75
complex_000026,0.25,0.25
complex_000026,0.5294117647058824,0.75
complex_000026,0.46153846153846156,0.5
complex_000026,0.5625,0.75
complex_000026,0.6875,0.9166666666666666
complex_000026,0.5833333333333334,0.5833333333333334
complex_000026,0.5,0.5
complex_000026,0.5625,0.75
complex_000026,0.4444444444444444,0.6666666666666666
complex_000026,0.4166666666666667,0.4166666666666667
complex_000026,0.8,1.0
complex_000026,0.75,0.75
complex_000026,0.8,1.0
complex_000026,0.8333333333333334,0.8333333333333334
complex_000026,0.6153846153846154,0.6666666666666666
complex_000026,0.4166666666666667,0.4166666666666667
complex_000026,0.3333333333333333,0.3333333333333333
complex_000026,0.43478260869565216,0.8333333333333334
complex_000026,0.7692307692307693,0.8333333333333334
complex_000026,0.75,1.0
complex_000026,0.5,0.75
complex_000026,0.8571428571428571,1.0
complex_000026,0.6666666666666666,0.6666666666666666
complex_000026,0.6666666666666666,0.6666666666666666
complex_000026,0.6923076923076923,0.75
complex_000026,0.5,0.5
complex_000026,0.6666666666666666,0.6666666666666666
complex_000026,0.8461538461538461,0.9166666666666666
complex_000026,0.9166666666666666,0.9166666666666666
complex_000026,0.6153846153846154,0.6666666666666666
complex_000026,0.46153846153846156,0.5
complex_000026,0.5,0.5
complex_000026,0.75,0.75
complex_000026,0.5833333333333334,0.5833333333333334
complex_000026,0.8333333333333334,0.8333333333333334
complex_000026,0.38461538461538464,0.4166666666666667
complex_000026,0.7333333333333333,0.9166666666666666
complex_000026,0.5333333333333333,0.6666666666666666
complex_000026,0.6923076923076923,0.75
complex_000026,0.5625,0.75
complex_000026,0.7857142857142857,0.9166666666666666
complex_000026,0.4166666666666667,0.4166666666666667
complex_000026,0.5263157894736842,0.8333333333333334
complex_000026,0.5625,0.75
complex_000026,0.75,0.75
complex_000026,0.4166666666666667,0.4166666666666667
complex_000026,0.5,0.8333333333333334
complex_000026,0.6428571428571429,0.75
complex_000026,0.6,0.75
complex_000026,0.5,0.5
complex_000026,0.75,0.75
complex_000026,0.6428571428571429,0.75
complex_000026,0.6153846153846154,0.6666666666666666
complex_000026,0.8461538461538461,0.9166666666666666
complex_000026,0.6153846153846154,0.6666666666666666
complex_000026,0.625,0.8333333333333334
complex_000026,0.6428571428571429,0.75
complex_000026,0.47058823529411764,0.6666666666666666
complex_000026,0.8333333333333334,0.8333333333333334
complex_000026,0.6923076923076923,0.75
complex_000026,0.5625,0.75
complex_000026,0.5,0.5
complex_000026,0.5714285714285714,0.6666666666666666
complex_000026,0.5833333333333334,0.5833333333333334
complex_000026,0.6153846153846154,0.6666666666666666
complex_000026,0.5833333333333334,0.5833333333333334
complex_000026,0.5,0.5
complex_000026,0.5833333333333334,0.5833333333333334
complex_000026,0.5833333333333334,0.5833333333333334
complex_000026,0.5625,0.75
complex_000026,0.6666666666666666,0.6666666666666666
complex_000026,0.7692307692307693,0.8333333333333334
complex_000026,0.7857142857142857,0.9166666666666666
complex_000026,0.4666666666666667,0.5833333333333334
complex_000026,0.5,0.5
complex_000026,0.5,0.5
complex_000026,0.7692307692307693,0.8333333333333334
complex_000051,0.48,0.631578947368421
complex_000051,0.3333333333333333,0.42105263157894735
complex_000051,0.2962962962962963,0.42105263157894735
complex_000051,0.3333333333333333,0.47368421052631576
complex_000051,0.4583333333333333,0.5789473684210527
complex_000051,0.48,0.631578947368421
complex_000051,0.42105263157894735,0.42105263157894735
complex_000051,0.375,0.47368421052631576
complex_000051,0.35,0.3684210526315789
complex_000051,0.5238095238095238,0.5789473684210527
complex_000051,0.3333333333333333,0.5263157894736842
complex_000051,0.3684210526315789,0.3684210526315789
complex_000051,0.48,0.631578947368421
complex_000051,0.47368421052631576,0.47368421052631576
complex_000051,0.6842105263157895,0.6842105263157895
complex_000051,0.5,0.5789473684210527
complex_000051,0.5714285714285714,0.631578947368421
complex_000051,0.36363636363636365,0.42105263157894735
complex_000051,0.38095238095238093,0.42105263157894735
complex_000051,0.5217391304347826,0.631578947368421
complex_000051,0.4074074074074074,0.5789473684210527
complex_000051,0.34615384615384615,0.47368421052631576
complex_000051,0.391304347826087,0.47368421052631576
complex_000051,0.7272727272727273,0.8421052631578947
complex_000051,0.391304347826087,0.47368421052631576
complex_000051,0.35,0.3684210526315789
complex_000051,0.35,0.3684210526315789
complex_000051,0.36363636363636365,0.42105263157894735
complex_000051,0.2916666666666667,0.3684210526315789
complex_000051,0.45454545454545453,0.5263157894736842
complex_000051,0.6363636363636364,0.7368421052631579
complex_000051,0.36363636363636365,0.42105263157894735
complex_000051,0.39285714285714285,0.5789473684210527
complex_000051,0.6190476190476191,0.6842105263157895
complex_000051,0.42105263157894735,0.42105263157894735
