pocket,ligcode,centroid_offset,same_site,tanimoto,recall
complex_000001,583,1.7058000316123156,True,0.6875,0.7333333333333333
complex_000026,n,1.9442762155754953,True,0.8333333333333334,0.8333333333333334
complex_000026,cvr,2.6266481062623686,True,0.7692307692307693,0.8333333333333334
complex_000069,e6a,34.80952642076553,False,0.0,0.0
complex_000085,chc,0.633098870818061,True,0.75,1.0
complex_000085,jn3,0.26049474104102194,True,0.875,0.9333333333333333
complex_000117,nla,0.8664618954221217,True,0.8,1.0
complex_000117,caq,0.4602137910644409,True,0.875,0.875
complex_000117,ber,5.244266678249563,True,0.4166666666666667,0.625
complex_000141,ip2,1.5925059462252984,True,0.6363636363636364,1.0
complex_000149,1bn,1.526081160578921,True,0.5625,0.5625
complex_000179,fcr,0.8408557559007218,True,0.5454545454545454,0.6666666666666666
complex_000193,a74,4.92273852245791,True,0.625,0.7692307692307693
complex_000193,a37,3.579576672469568,True,0.7857142857142857,0.8461538461538461
complex_000223,3d6,2.06207106242038,True,0.42857142857142855,0.6666666666666666
complex_000223,3c5,2.6424153912141537,True,0.6666666666666666,0.6666666666666666
complex_000236,dxw,1.2153225043170677,True,0.6,0.8181818181818182
complex_000236,w30,1.9831210912492216,True,0.6153846153846154,0.7272727272727273
complex_000236,3xe,2.753130516730957,True,0.4117647058823529,0.6363636363636364
complex_000266,itu,5.340886549270012,True,0.46153846153846156,0.46153846153846156
complex_000266,s71,3.7047834914695286,True,0.5,0.6153846153846154
complex_000269,iph,1.8548600961867667,True,0.75,0.8181818181818182
complex_000269,4hp,0.35120325692348847,True,0.9166666666666666,1.0
complex_000292,xxj,1.6663701721787103,True,0.8,1.0
complex_000292,zzx,1.7406354132128221,True,0.75,0.75
complex_000292,x2p,0.8104232919313226,True,1.0,1.0
complex_000292,8g1,1.133985508457814,True,1.0,1.0
complex_000292,bf3,3.310064781965704,True,0.5,0.5
complex_000292,zzw,3.9032804893421313,True,0.625,0.625
complex_000292,zyo,1.7383877953840168,True,0.75,0.75
complex_000292,ci4,3.4491375115679044,True,0.625,0.625
complex_000292,4rt,1.1068045894527034,True,0.875,0.875
complex_000292,cij,3.3549704080606353,True,0.625,0.625
complex_000292,xz2,2.2671551662756957,True,0.75,0.75
complex_000292,m76,3.1400656757260386,True,0.5555555555555556,0.625
complex_000292,19c,3.545791644731083,True,0.625,0.625
complex_000292,zzv,2.088416643530091,True,0.6666666666666666,0.75
complex_000292,zyy,1.342267639046288,True,0.875,0.875
complex_000305,16s,0.3716413426103782,True,0.7857142857142857,0.9166666666666666
complex_000305,1uw,0.9504406300395293,True,0.9230769230769231,1.0
complex_000305,28c,2.4942255673395812,True,0.5,0.5833333333333334
complex_000305,m3f,0.6840325998031578,True,0.75,0.75
complex_000305,a64,0.500749417182453,True,0.8461538461538461,0.9166666666666666
complex_000305,1v1,0.44049778360603525,True,0.8461538461538461,0.9166666666666666
complex_000305,f36,0.5626545459443862,True,0.7692307692307693,0.8333333333333334
complex_000305,1ur,0.5722748912107793,True,0.8461538461538461,0.9166666666666666
complex_000305,92t,5.801409978078194,True,0.36363636363636365,0.6666666666666666
complex_000305,vt3,0.49329802143417895,True,0.8333333333333334,0.8333333333333334
complex_000305,f33,1.1948127231421757,True,0.8,1.0
complex_000305,16i,2.4852162127023867,True,0.7857142857142857,0.9166666666666666
complex_000305,bj4,1.151008947449619,True,0.5714285714285714,0.6666666666666666
complex_000305,w8l,1.28208600734547,True,0.6428571428571429,0.75
complex_000305,06r,0.8154738181599562,True,0.8571428571428571,1.0
complex_000305,0e0,0.65385217619715,True,0.9166666666666666,0.9166666666666666
complex_000305,1uz,0.28158014023917904,True,0.9166666666666666,0.9166666666666666
complex_000305,f38,1.1430824858290407,True,0.75,1.0
complex_000305,32f,0.7322457875138563,True,0.8571428571428571,1.0
complex_000305,1v0,0.519258974008979,True,0.9166666666666666,0.9166666666666666
complex_000305,27f,0.28413138266167354,True,0.7692307692307693,0.8333333333333334
complex_000305,cdj,0.5555109649911837,True,0.7692307692307693,0.8333333333333334
complex_000305,1ak,5.578798778247981,True,0.42105263157894735,0.6666666666666666
complex_000305,a63,0.33971992149544417,True,0.9230769230769231,1.0
complex_000305,w2e,0.39532989377291217,True,0.8,1.0
complex_000305,1v8,0.34888673490217786,True,0.7857142857142857,0.9166666666666666
complex_000305,5zi,5.241449951456384,True,0.5263157894736842,0.8333333333333334
complex_000305,15z,0.478563100177463,True,0.9166666666666666,0.9166666666666666
complex_000305,33c,7.345068962172617,True,0.3684210526315789,0.5833333333333334
complex_000305,91f,0.27003214155191796,True,0.8571428571428571,1.0
complex_000305,15w,0.7271687710833409,True,0.7692307692307693,0.8333333333333334
complex_000305,1vg,1.104407646763382,True,1.0,1.0
complex_000305,f94,0.43782534768719594,True,0.8333333333333334,0.8333333333333334
complex_000305,h2w,0.36569929196714024,True,0.8333333333333334,0.8333333333333334
complex_000305,5ww,0.4708787006689181,True,0.7692307692307693,0.8333333333333334
complex_000305,1ut,0.5022797857545319,True,0.8461538461538461,0.9166666666666666
complex_000305,nnl,0.7816111581136642,True,0.625,0.8333333333333334
complex_000305,nnf,1.1164128514617904,True,0.7692307692307693,0.8333333333333334
complex_000305,8ir,5.687639806640779,True,0.4,0.6666666666666666
