pocket,displacement,tanimoto,recall,error
complex_000001,0.5,0.6666666666666666,0.6666666666666666,
complex_000001,0.5,0.8125,0.8666666666666667,
complex_000001,0.5,0.7333333333333333,0.7333333333333333,
complex_000001,0.5,0.75,0.8,
complex_000001,0.5,0.8333333333333334,1.0,
complex_000001,0.5,0.875,0.9333333333333333,
complex_000001,0.5,0.6111111111111112,0.7333333333333333,
complex_000001,0.5,0.75,0.8,
complex_000001,0.5,0.5294117647058824,0.6,
complex_000001,0.5,0.6666666666666666,0.8,
complex_000001,0.5,0.7777777777777778,0.9333333333333333,
complex_000001,0.5,0.5555555555555556,0.6666666666666666,
complex_000001,1.0,0.5294117647058824,0.6,
complex_000001,1.0,0.5454545454545454,0.8,
complex_000001,1.0,0.65,0.8666666666666667,
complex_000001,1.0,0.5714285714285714,0.8,
complex_000001,1.0,0.5625,0.6,
complex_000001,1.0,0.7368421052631579,0.9333333333333333,
complex_000001,1.0,0.5,0.6666666666666666,
complex_000001,1.0,0.4117647058823529,0.4666666666666667,
complex_000001,1.0,0.4444444444444444,0.5333333333333333,
complex_000001,1.0,0.5294117647058824,0.6,
complex_000001,1.0,0.42105263157894735,0.5333333333333333,
complex_000001,1.0,0.65,0.8666666666666667,
complex_000001,2.0,0.21052631578947367,0.26666666666666666,
complex_000001,2.0,0.3181818181818182,0.4666666666666667,
complex_000001,2.0,0.23809523809523808,0.3333333333333333,
complex_000001,2.0,0.3888888888888889,0.4666666666666667,
complex_000001,2.0,0.3,0.4,
complex_000001,2.0,0.3333333333333333,0.4666666666666667,
complex_000001,2.0,0.47058823529411764,0.5333333333333333,
complex_000001,2.0,0.42857142857142855,0.6,
complex_000001,2.0,0.42857142857142855,0.6,
complex_000001,2.0,0.2857142857142857,0.4,
complex_000001,2.0,0.2857142857142857,0.4,
complex_000001,2.0,0.5238095238095238,0.7333333333333333,
complex_000001,3.0,0.5,0.6666666666666666,
complex_000001,3.0,0.391304347826087,0.6,
complex_000001,3.0,0.4166666666666667,0.6666666666666666,
complex_000001,3.0,0.3333333333333333,0.4,
complex_000001,3.0,0.14285714285714285,0.2,
complex_000001,3.0,0.2608695652173913,0.4,
complex_000001,3.0,0.47368421052631576,0.6,
complex_000001,3.0,0.3888888888888889,0.4666666666666667,
complex_000001,3.0,0.4090909090909091,0.6,
complex_000001,3.0,0.2222222222222222,0.26666666666666666,
complex_000001,3.0,0.2222222222222222,0.26666666666666666,
complex_000001,3.0,0.36363636363636365,0.5333333333333333,
complex_000026,0.5,0.875,0.9333333333333333,
complex_000026,0.5,0.8,0.8,
complex_000026,0.5,0.9333333333333333,0.9333333333333333,
complex_000026,0.5,0.8666666666666667,0.8666666666666667,
complex_000026,0.5,0.8125,0.8666666666666667,
complex_000026,0.5,0.8666666666666667,0.8666666666666667,
complex_000026,0.5,0.8666666666666667,0.8666666666666667,
complex_000026,0.5,0.8125,0.8666666666666667,
complex_000026,0.5,0.8125,0.8666666666666667,
complex_000026,0.5,0.8235294117647058,0.9333333333333333,
complex_000026,0.5,0.8,0.8,
complex_000026,0.5,0.8125,0.8666666666666667,
complex_000026,1.0,0.625,0.6666666666666666,
complex_000026,1.0,0.6666666666666666,0.6666666666666666,
complex_000026,1.0,0.7058823529411765,0.8,
complex_000026,1.0,0.75,0.8,
complex_000026,1.0,0.625,0.6666666666666666,
complex_000026,1.0,0.75,0.8,
complex_000026,1.0,0.5882352941176471,0.6666666666666666,
complex_000026,1.0,0.7058823529411765,0.8,
complex_000026,1.0,0.5,0.6,
complex_000026,1.0,0.6666666666666666,0.6666666666666666,
complex_000026,1.0,0.4375,0.4666666666666667,
complex_000026,1.0,0.6875,0.7333333333333333,
complex_000026,2.0,0.3333333333333333,0.4666666666666667,
complex_000026,2.0,0.42105263157894735,0.5333333333333333,
complex_000026,2.0,0.17647058823529413,0.2,
complex_000026,2.0,0.5555555555555556,0.6666666666666666,
complex_000026,2.0,0.4375,0.4666666666666667,
complex_000026,2.0,0.5294117647058824,0.6,
complex_000026,2.0,0.47368421052631576,0.6,
complex_000026,2.0,0.3333333333333333,0.4,
complex_000026,2.0,0.3333333333333333,0.4,
complex_000026,2.0,0.4375,0.4666666666666667,
complex_000026,2.0,0.42105263157894735,0.5333333333333333,
complex_000026,2.0,0.4375,0.4666666666666667,
complex_000026,3.0,0.4375,0.4666666666666667,
complex_000026,3.0,0.18181818181818182,0.26666666666666666,
complex_000026,3.0,0.35294117647058826,0.4,
complex_000026,3.0,0.28,0.4666666666666667,
