pocket,tanimoto,recall,error
complex_000001,0.35,0.4666666666666667,
complex_000001,0.13333333333333333,0.13333333333333333,
complex_000001,0.42105263157894735,0.5333333333333333,
complex_000001,0.4117647058823529,0.4666666666666667,
complex_000001,0.35,0.4666666666666667,
complex_000001,0.3157894736842105,0.4,
complex_000001,0.25,0.4666666666666667,
complex_000001,0.45454545454545453,0.6666666666666666,
complex_000001,0.34782608695652173,0.5333333333333333,
complex_000001,0.3888888888888889,0.4666666666666667,
complex_000001,0.4,0.4,
complex_000001,0.4444444444444444,0.5333333333333333,
complex_000001,0.2,0.2,
complex_000001,0.4444444444444444,0.5333333333333333,
complex_000001,0.34782608695652173,0.5333333333333333,
complex_000001,0.2631578947368421,0.3333333333333333,
complex_000001,0.3333333333333333,0.4,
complex_000001,0.3333333333333333,0.4666666666666667,
complex_000001,0.3888888888888889,0.4666666666666667,
complex_000001,0.47368421052631576,0.6,
complex_000001,0.4090909090909091,0.6,
complex_000001,0.25,0.3333333333333333,
complex_000001,0.36363636363636365,0.5333333333333333,
complex_000001,0.3333333333333333,0.4666666666666667,
complex_000001,0.4375,0.4666666666666667,
complex_000001,0.375,0.4,
complex_000001,0.13333333333333333,0.13333333333333333,
complex_000001,0.47368421052631576,0.6,
complex_000001,0.2631578947368421,0.3333333333333333,
complex_000001,0.25,0.26666666666666666,
complex_000001,0.375,0.4,
complex_000001,0.5,0.6,
complex_000001,0.35,0.4666666666666667,
complex_000001,0.3888888888888889,0.4666666666666667,
complex_000001,0.26666666666666666,0.26666666666666666,
complex_000001,0.42105263157894735,0.5333333333333333,
complex_000001,0.47058823529411764,0.5333333333333333,
complex_000001,0.375,0.4,
complex_000001,0.3125,0.3333333333333333,
complex_000001,0.375,0.4,
complex_000001,0.4117647058823529,0.4666666666666667,
complex_000001,0.1875,0.2,
complex_000001,0.3888888888888889,0.4666666666666667,
complex_000001,0.26666666666666666,0.26666666666666666,
complex_000001,0.4,0.5333333333333333,
complex_000001,0.42857142857142855,0.6,
complex_000001,0.3,0.4,
complex_000001,0.4,0.5333333333333333,
complex_000001,0.2857142857142857,0.4,
complex_000001,0.42105263157894735,0.5333333333333333,
complex_000001,0.2857142857142857,0.4,
complex_000001,0.375,0.4,
complex_000001,0.42105263157894735,0.5333333333333333,
complex_000001,0.25,0.26666666666666666,
complex_000001,0.23529411764705882,0.26666666666666666,
complex_000001,0.42857142857142855,0.6,
complex_000001,0.42105263157894735,0.5333333333333333,
complex_000001,0.5263157894736842,0.6666666666666666,
complex_000001,0.4,0.5333333333333333,
complex_000001,0.42105263157894735,0.5333333333333333,
complex_000001,0.3125,0.3333333333333333,
complex_000001,0.42105263157894735,0.5333333333333333,
complex_000001,0.16666666666666666,0.2,
complex_000001,0.375,0.6,
complex_000001,0.2857142857142857,0.5333333333333333,
complex_000001,0.5294117647058824,0.6,
complex_000001,0.4375,0.4666666666666667,
complex_000001,0.2631578947368421,0.3333333333333333,
complex_000001,0.4666666666666667,0.4666666666666667,
complex_000001,0.28,0.4666666666666667,
complex_000001,0.26666666666666666,0.26666666666666666,
complex_000001,0.47368421052631576,0.6,
complex_000001,0.2631578947368421,0.3333333333333333,
complex_000001,0.2,0.2,
complex_000001,0.2777777777777778,0.3333333333333333,
complex_000001,0.6111111111111112,0.7333333333333333,
complex_000001,0.4117647058823529,0.4666666666666667,
complex_000001,0.4117647058823529,0.4666666666666667,
complex_000001,0.6,0.6,
complex_000001,0.4090909090909091,0.6,
complex_000001,0.3157894736842105,0.4,
complex_000001,0.47058823529411764,0.5333333333333333,
complex_000001,0.2,0.2,
complex_000001,0.4117647058823529,0.4666666666666667,
complex_000001,0.3684210526315789,0.4666666666666667,
complex_000001,0.5555555555555556,0.6666666666666666,
complex_000001,0.4444444444444444,0.5333333333333333,
complex_000001,0.29411764705882354,0.3333333333333333,
complex_000001,0.3157894736842105,0.4,
complex_000001,0.23529411764705882,0.26666666666666666,
complex_000001,0.4117647058823529,0.4666666666666667,
complex_000001,0.5294117647058824,0.6,
complex_000001,0.2857142857142857,0.4,
