pocket,null_tanimoto,null_recall,real_tanimoto,real_recall,ceiling_tanimoto,n_pairs,ceiling_recall
complex_000001,0.3589672775725643,0.442,0.475337654672092,0.6189624329159232,0.5789473684210527,1.0,0.7333333333333333
complex_000026,0.28039330236289783,0.33333333333333337,0.43856447189184,0.5221259387637206,0.6416666666666666,2.0,0.6666666666666667
complex_000051,0.2826443219091089,0.37666666666666665,0.4220594384954242,0.5329261816250666,,,
complex_000059,0.19798154745861368,0.38111111111111107,0.2870603127062778,0.5296434494195684,,,
complex_000063,0.29490845897308743,0.40875,0.4665051748939406,0.6207555178268251,,,
complex_000069,0.3463212055607903,0.41600000000000004,0.31469447904880415,0.3759637188208631,,,
complex_000085,0.33718042530826714,0.44,0.3620413956432969,0.5109329446064138,0.6770833333333333,2.0,0.9285714285714286
complex_000112,0.35576916301251976,0.43799999999999994,0.5572188983022885,0.6956769055745206,,,
complex_000117,0.2492359521613627,0.65,0.28266995564735525,0.6912100456621001,0.2857142857142857,3.0,0.6666666666666666
complex_000140,0.22222640226404863,0.3214285714285714,0.28349982340932034,0.40221402214022095,,,
complex_000141,0.4585910571626515,0.61,0.5427975153724308,0.764694728858553,0.5,1.0,0.6666666666666666
complex_000145,0.4051803474303474,0.675,0.3598778706080941,0.6931034482758621,,,
complex_000148,0.26785930735930735,0.5533333333333332,0.3134242003531345,0.5972927241962775,,,
complex_000149,0.2785603303981282,0.4877777777777778,0.35063519669246146,0.6551789077212812,0.3333333333333333,1.0,0.3333333333333333
complex_000165,0.3666554365854012,0.53,0.5684768013096319,0.7963657013060793,,,
complex_000170,0.4010131283151272,0.7171428571428571,0.33669723985382577,0.7105783489866522,,,
complex_000177,0.3883377163118212,0.5870000000000001,0.39290048307831404,0.5938596491228065,,,
complex_000179,0.42302559167586423,0.5972727272727273,0.44332622801338967,0.666095890410959,0.5714285714285714,1.0,0.7272727272727273
complex_000191,0.3019324402523487,0.3542105263157895,0.24667761066221022,0.35334567574715936,,,
complex_000193,0.2758940846359195,0.39,0.32989992041459637,0.4524634810596678,0.23669467787114845,2.0,0.3214285714285714
complex_000223,0.28377761127761125,0.3914285714285714,0.18539754764229904,0.41426146010186526,0.36813186813186816,2.0,0.5
complex_000236,0.27617809218271594,0.31133333333333335,0.30733357140495426,0.36258140911782255,0.3333333333333333,3.0,0.4
complex_000266,0.2778418354521296,0.4957142857142857,0.370689467863776,0.608026249369007,0.4375,2.0,0.6428571428571428
complex_000269,0.41093197006309645,0.6164285714285714,0.4742773785604582,0.6887409200968522,0.6725490196078432,2.0,0.75
complex_000292,0.2897420634920635,0.36,0.23268055966353823,0.45561434450323407,0.2857142857142857,15.0,0.3333333333333333
complex_000305,0.28915964475840633,0.45333333333333337,0.42293068849852905,0.6222121760096438,0.5882352941176471,41.0,0.8333333333333334
complex_000335,0.33699182392255145,0.37785714285714284,0.39144803595316663,0.4390426327599098,,,
complex_000363,0.3516233971286923,0.5171428571428571,0.45657477109029143,0.6256294725682487,0.36602870813397126,2.0,0.5357142857142857
complex_000374,0.2428922095388983,0.315,0.33724724239789405,0.43814324721697123,,,
complex_000376,0.2750700896522003,0.47,0.4025105635692651,0.636948703388226,0.4,3.0,0.8888888888888888
complex_000382,0.2584053069117209,0.320625,0.28504636656188853,0.3509090909090909,,,
complex_000387,0.2783406627605278,0.3563157894736842,0.3866488628677354,0.4816014394961768,,,
complex_000394,0.3902230777553163,0.6925,0.35231244734612194,0.6780369718309859,,,
complex_000400,0.2879896814158786,0.37733333333333335,0.3098353502120193,0.45557461406518024,,,
complex_000403,0.21225817663588561,0.496,0.32970327831198365,0.7092173913043538,0.16666666666666666,2.0,0.3
complex_000411,0.3526997607225935,0.7879999999999999,0.37940458644719083,0.8483478260869598,,,
complex_000426,0.3464840516474148,0.61,0.3779584331999474,0.641396933560477,0.3125,1.0,0.625
complex_000456,0.3358897669667793,0.5288888888888889,0.5058182884233778,0.7555555555555572,,,
complex_000472,0.3257112460552863,0.7966666666666667,0.2935291110455919,0.7729885057471277,,,
complex_000473,0.23158388685763712,0.2788888888888889,0.5093844080393528,0.6024518388791592,,,
complex_000477,0.28023971472993886,0.33866666666666667,0.38948802664315957,0.4819710144927533,0.6818181818181818,5.0,0.9333333333333333
complex_000506,0.46272754747832145,0.5375,0.37712874324050655,0.5831903945111496,,,
complex_000535,0.22288638249846354,0.27875,0.3353815672610325,0.5053097345132743,,,
complex_000540,0.1917992565981337,0.24529411764705883,0.3746198758207755,0.4412838127951909,0.8888888888888888,1.0,0.9411764705882353
