pocket,displacement,tanimoto,recall
complex_000001,0.5,0.9333333333333333,0.9333333333333333
complex_000001,0.5,0.8,0.8
complex_000001,0.5,0.8666666666666667,0.8666666666666667
complex_000001,0.5,0.8666666666666667,0.8666666666666667
complex_000001,0.5,0.9333333333333333,0.9333333333333333
complex_000001,0.5,0.8666666666666667,0.8666666666666667
complex_000001,0.5,0.9333333333333333,0.9333333333333333
complex_000001,0.5,0.8,0.8
complex_000001,0.5,0.9333333333333333,0.9333333333333333
complex_000001,0.5,1.0,1.0
complex_000001,0.5,1.0,1.0
complex_000001,0.5,0.9333333333333333,0.9333333333333333
complex_000001,1.0,0.7333333333333333,0.7333333333333333
complex_000001,1.0,0.8125,0.8666666666666667
complex_000001,1.0,0.8666666666666667,0.8666666666666667
complex_000001,1.0,0.9333333333333333,0.9333333333333333
complex_000001,1.0,0.5333333333333333,0.5333333333333333
complex_000001,1.0,0.8666666666666667,0.8666666666666667
complex_000001,1.0,0.8666666666666667,0.8666666666666667
complex_000001,1.0,0.8125,0.8666666666666667
complex_000001,1.0,0.8666666666666667,0.8666666666666667
complex_000001,1.0,0.6,0.6
complex_000001,1.0,0.6875,0.7333333333333333
complex_000001,1.0,0.8666666666666667,0.8666666666666667
complex_000001,2.0,0.5625,0.6
complex_000001,2.0,0.5625,0.6
complex_000001,2.0,0.625,0.6666666666666666
complex_000001,2.0,0.35294117647058826,0.4
complex_000001,2.0,0.5625,0.6
complex_000001,2.0,0.3888888888888889,0.4666666666666667
complex_000001,2.0,0.5333333333333333,0.5333333333333333
complex_000001,2.0,0.5555555555555556,0.6666666666666666
complex_000001,2.0,0.8666666666666667,0.8666666666666667
complex_000001,2.0,0.3333333333333333,0.4
complex_000001,2.0,0.3333333333333333,0.4
complex_000001,2.0,0.6875,0.7333333333333333
complex_000001,3.0,0.6470588235294118,0.7333333333333333
complex_000001,3.0,0.47368421052631576,0.6
complex_000001,3.0,0.5294117647058824,0.6
complex_000001,3.0,0.5,0.5333333333333333
complex_000001,3.0,0.3333333333333333,0.4
complex_000001,3.0,0.4,0.5333333333333333
complex_000001,3.0,0.6470588235294118,0.7333333333333333
complex_000001,3.0,0.5,0.5333333333333333
complex_000001,3.0,0.7647058823529411,0.8666666666666667
complex_000001,3.0,0.4375,0.4666666666666667
complex_000001,3.0,0.2222222222222222,0.26666666666666666
complex_000001,3.0,0.6470588235294118,0.7333333333333333
complex_000026,0.5,0.9230769230769231,1.0
complex_000026,0.5,0.7333333333333333,0.9166666666666666
complex_000026,0.5,0.9230769230769231,1.0
complex_000026,0.5,0.9230769230769231,1.0
complex_000026,0.5,0.9230769230769231,1.0
complex_000026,0.5,0.9230769230769231,1.0
complex_000026,0.5,1.0,1.0
complex_000026,0.5,0.9230769230769231,1.0
complex_000026,0.5,0.9230769230769231,1.0
complex_000026,0.5,0.9230769230769231,1.0
complex_000026,0.5,0.7857142857142857,0.9166666666666666
complex_000026,0.5,0.8571428571428571,1.0
complex_000026,1.0,0.8461538461538461,0.9166666666666666
complex_000026,1.0,0.75,0.75
complex_000026,1.0,0.9166666666666666,0.9166666666666666
complex_000026,1.0,1.0,1.0
complex_000026,1.0,0.75,0.75
complex_000026,1.0,0.7857142857142857,0.9166666666666666
complex_000026,1.0,0.8461538461538461,0.9166666666666666
complex_000026,1.0,0.7857142857142857,0.9166666666666666
complex_000026,1.0,0.9230769230769231,1.0
complex_000026,1.0,0.9230769230769231,1.0
complex_000026,1.0,0.6666666666666666,0.8333333333333334
complex_000026,1.0,0.8461538461538461,0.9166666666666666
complex_000026,2.0,0.5,0.5833333333333334
complex_000026,2.0,0.6428571428571429,0.75
complex_000026,2.0,0.5714285714285714,0.6666666666666666
complex_000026,2.0,0.7333333333333333,0.9166666666666666
complex_000026,2.0,0.6153846153846154,0.6666666666666666
complex_000026,2.0,0.6153846153846154,0.6666666666666666
complex_000026,2.0,0.8,1.0
complex_000026,2.0,0.6428571428571429,0.75
complex_000026,2.0,0.7857142857142857,0.9166666666666666
complex_000026,2.0,0.6666666666666666,0.6666666666666666
complex_000026,2.0,0.7142857142857143,0.8333333333333334
complex_000026,2.0,0.6428571428571429,0.75
complex_000026,3.0,0.5384615384615384,0.5833333333333334
complex_000026,3.0,0.3333333333333333,0.5
complex_000026,3.0,0.5714285714285714,0.6666666666666666
complex_000026,3.0,0.5,0.75
complex_000026,3.0,0.4375,0.5833333333333334
complex_000026,3.0,0.42857142857142855,0.5
complex_000026,3.0,0.5333333333333333,0.6666666666666666
complex_000026,3.0,0.5294117647058824,0.75
complex_000026,3.0,0.5333333333333333,0.6666666666666666
complex_000026,3.0,0.5333333333333333,0.6666666666666666
complex_000026,3.0,0.5,0.6666666666666666
complex_000026,3.0,0.35714285714285715,0.4166666666666667
complex_000051,0.5,0.9473684210526315,0.9473684210526315
complex_000051,0.5,0.9,0.9473684210526315
complex_000051,0.5,1.0,1.0
complex_000051,0.5,0.85,0.8947368421052632
complex_000051,0.5,0.9,0.9473684210526315
complex_000051,0.5,0.8095238095238095,0.8947368421052632
complex_000051,0.5,0.8095238095238095,0.8947368421052632
complex_000051,0.5,0.9473684210526315,0.9473684210526315
complex_000051,0.5,1.0,1.0
complex_000051,0.5,0.85,0.8947368421052632
complex_000051,0.5,0.9473684210526315,0.9473684210526315
complex_000051,0.5,0.9,0.9473684210526315
complex_000051,1.0,0.8095238095238095,0.8947368421052632
complex_000051,1.0,0.8421052631578947,0.8421052631578947
complex_000051,1.0,0.8947368421052632,0.8947368421052632
complex_000051,1.0,0.7894736842105263,0.7894736842105263
complex_000051,1.0,0.6363636363636364,0.7368421052631579
complex_000051,1.0,0.8947368421052632,0.8947368421052632
complex_000051,1.0,0.6363636363636364,0.7368421052631579
complex_000051,1.0,0.6818181818181818,0.7894736842105263
complex_000051,1.0,0.8095238095238095,0.8947368421052632
complex_000051,1.0,0.85,0.8947368421052632
complex_000051,1.0,0.6956521739130435,0.8421052631578947
complex_000051,1.0,0.7368421052631579,0.7368421052631579
complex_000051,2.0,0.6363636363636364,0.7368421052631579
complex_000051,2.0,0.6,0.631578947368421
complex_000051,2.0,0.6818181818181818,0.7894736842105263
complex_000051,2.0,0.4782608695652174,0.5789473684210527
complex_000051,2.0,0.5714285714285714,0.631578947368421
complex_000051,2.0,0.5454545454545454,0.631578947368421
complex_000051,2.0,0.6190476190476191,0.6842105263157895
complex_000051,2.0,0.631578947368421,0.631578947368421
complex_000051,2.0,0.5652173913043478,0.6842105263157895
complex_000051,2.0,0.5789473684210527,0.5789473684210527
complex_000051,2.0,0.4782608695652174,0.5789473684210527
complex_000051,2.0,0.6666666666666666,0.7368421052631579
complex_000051,3.0,0.5,0.5789473684210527
complex_000051,3.0,0.5,0.631578947368421
complex_000051,3.0,0.43478260869565216,0.5263157894736842
complex_000051,3.0,0.5238095238095238,0.5789473684210527
complex_000051,3.0,0.5217391304347826,0.631578947368421
complex_000051,3.0,0.5238095238095238,0.5789473684210527
complex_000051,3.0,0.38461538461538464,0.5263157894736842
complex_000051,3.0,0.5454545454545454,0.631578947368421
complex_000051,3.0,0.43478260869565216,0.5263157894736842
complex_000051,3.0,0.5454545454545454,0.631578947368421
complex_000051,3.0,0.6190476190476191,0.6842105263157895
complex_000051,3.0,0.5454545454545454,0.631578947368421
complex_000059,0.5,0.8823529411764706,0.9375
complex_000059,0.5,0.9375,0.9375
complex_000059,0.5,0.9375,0.9375
complex_000059,0.5,0.9375,0.9375
complex_000059,0.5,0.9375,0.9375
complex_000059,0.5,0.8823529411764706,0.9375
complex_000059,0.5,0.75,0.75
complex_000059,0.5,0.9375,0.9375
complex_000059,0.5,0.9375,0.9375
complex_000059,0.5,0.8823529411764706,0.9375
complex_000059,0.5,0.7058823529411765,0.75
complex_000059,0.5,0.875,0.875
complex_000059,1.0,0.7647058823529411,0.8125
complex_000059,1.0,0.7647058823529411,0.8125
complex_000059,1.0,0.8125,0.8125
complex_000059,1.0,0.8235294117647058,0.875
complex_000059,1.0,0.6111111111111112,0.6875
complex_000059,1.0,0.7647058823529411,0.8125
complex_000059,1.0,0.8125,0.8125
complex_000059,1.0,0.8235294117647058,0.875
complex_000059,1.0,0.7647058823529411,0.8125
complex_000059,1.0,0.8125,0.8125
