seed,n_val_points,critic_end,control_end,delta_end,critic_best,control_best,critic_worse_at,critic_distance_pct,critic_distance_monotone
r0,47,0.4668232798576355,0.4647573262453079,0.002065953612327587,0.4536788463592529,0.4503447413444519,28,-37.8989416405675,True
r1,47,0.4617692530155182,0.4618581265211105,-8.887350559233509e-05,0.4448432028293609,0.4455641806125641,34,-7.5116230320912605,False
r2,47,0.4677429884672165,0.4666330873966217,0.001109901070594832,0.4568037688732147,0.4555123448371887,22,-3.624313788791721,False
