batch,slot,critic_r0,control_r0,critic_r1,control_r1,critic_r2,control_r2
0,0,0.0010622143745422363,0.0010411739349365234,0.0010499954223632812,0.001143813133239746,0.001272439956665039,0.0010035037994384766
0,1,0.0014357566833496094,0.0012384653091430664,0.0004525184631347656,0.0010755658149719238,0.0012372732162475586,0.0008600950241088867
2,0,0.0002799034118652344,0.0003504753112792969,0.0004321932792663574,0.00022214651107788086,0.00023889541625976562,0.0002758502960205078
4,0,0.0001914501190185547,0.0001818537712097168,0.0001894831657409668,0.0001582503318786621,0.00019741058349609375,0.0002243518829345703
6,0,0.00017201900482177734,0.00016570091247558594,0.00015687942504882812,0.00022143125534057617,0.00018548965454101562,0.00019824504852294922
7,0,0.000452578067779541,0.00039398670196533203,0.00037997961044311523,0.00040602684020996094,0.00037974119186401367,0.0003859996795654297
9,0,0.0006099939346313477,0.0006312131881713867,0.0005013942718505859,0.0005513429641723633,0.00044602155685424805,0.0007535219192504883
12,0,0.004930019378662109,0.00288546085357666,0.0034998059272766113,0.004673004150390625,0.0039827823638916016,0.002874612808227539
14,0,0.0035858154296875,0.0026140213012695312,0.003282904624938965,0.0029305219650268555,0.0024232864379882812,0.0034335851669311523
16,0,0.006635546684265137,0.006515681743621826,0.005244135856628418,0.0056684017181396484,0.0057228803634643555,0.0049283504486083984
17,0,0.001995384693145752,0.003656327724456787,0.0022140145301818848,0.0028026700019836426,0.0027097463607788086,0.0028047561645507812
18,0,0.00023049116134643555,0.0004134178161621094,0.0003444552421569824,0.00010538101196289062,0.0004143714904785156,0.00026607513427734375
20,0,0.0005435347557067871,0.00039017200469970703,0.0007238388061523438,0.0005806684494018555,0.0006553530693054199,0.0007238388061523438
22,0,0.008348226547241211,0.011090219020843506,0.011016428470611572,0.00837773084640503,0.007874369621276855,0.008184552192687988
23,0,0.00030219554901123047,5.698204040527344e-05,4.464387893676758e-05,0.00028520822525024414,0.00023663043975830078,0.0002560615539550781
26,0,0.00038546323776245117,0.00031191110610961914,0.00028967857360839844,0.00029593706130981445,0.00020039081573486328,0.0003547072410583496
28,0,0.000507056713104248,0.0005042552947998047,0.00032067298889160156,0.0003409385681152344,0.0006006360054016113,0.0005491375923156738
30,0,0.005119442939758301,0.004638791084289551,0.0036722421646118164,0.006209433078765869,0.0055348873138427734,0.006019949913024902
35,0,0.00014162063598632812,0.00029337406158447266,0.0003126859664916992,0.00024324655532836914,0.0004410743713378906,0.00019431114196777344
38,0,0.0008608102798461914,0.0015829801559448242,0.001891493797302246,0.0009232759475708008,0.0009429454803466797,0.0011458992958068848
38,1,0.0011906623840332031,0.0008459091186523438,0.0010182857513427734,0.001089334487915039,0.0008679032325744629,0.0012165307998657227
42,0,0.0007679462432861328,0.0010475516319274902,0.0010578036308288574,0.0009405016899108887,0.0010689496994018555,0.0008592009544372559
43,0,0.00013375282287597656,0.00012344121932983398,0.00021201372146606445,7.212162017822266e-05,0.00013566017150878906,0.0001195669174194336
46,0,0.032078325748443604,0.031324684619903564,0.031138360500335693,0.029871821403503418,0.03026890754699707,0.03190511465072632
47,0,0.013891875743865967,0.015254735946655273,0.01372450590133667,0.012509703636169434,0.015477597713470459,0.013454854488372803
47,1,0.00022423267364501953,0.00014823675155639648,0.00018912553787231445,0.00017958879470825195,0.00019937753677368164,0.00013971328735351562
48,0,0.00047838687896728516,0.0005117654800415039,0.0005737543106079102,0.00038951635360717773,0.00046831369400024414,0.0003718137741088867
49,0,0.006688475608825684,0.0047643184661865234,0.004966855049133301,0.006389439105987549,0.0061737895011901855,0.0061043500900268555
49,1,0.0014197826385498047,0.0016663074493408203,0.002030491828918457,0.0017545223236083984,0.0021460652351379395,0.001293778419494629
56,0,0.0010502338409423828,0.0012015104293823242,0.00112152099609375,0.001193404197692871,0.001130223274230957,0.0011959671974182129
56,1,0.00019621849060058594,0.00018334388732910156,0.00019687414169311523,8.094310760498047e-05,0.00019979476928710938,0.0002065896987915039
59,0,0.00019222497940063477,0.00028145313262939453,0.00024366378784179688,0.00021469593048095703,0.0003001689910888672,0.00029546022415161133
60,0,0.00022482872009277344,0.0002917051315307617,0.00021576881408691406,0.00035178661346435547,0.0002319812774658203,0.0002856254577636719
63,0,0.003143787384033203,0.00463557243347168,0.006354212760925293,0.004787802696228027,0.005028724670410156,0.005140423774719238
64,0,0.0009558200836181641,0.0007076859474182129,0.00032973289489746094,0.0004582405090332031,0.000536799430847168,0.0006020069122314453
64,1,0.003006458282470703,0.0027025938034057617,0.0027039051055908203,0.0029630064964294434,0.0026345252990722656,0.0027980804443359375
65,0,0.0004776120185852051,0.00044465065002441406,0.0005118846893310547,0.00046181678771972656,0.0004987716674804688,0.0004633665084838867
69,0,0.0005925893783569336,0.00040030479431152344,0.00041997432708740234,0.00032448768615722656,0.0005555152893066406,0.0003848075866699219
70,0,9.500980377197266e-05,9.59634780883789e-05,5.614757537841797e-05,9.369850158691406e-05,0.00014865398406982422,8.338689804077148e-05
72,0,0.0015386343002319336,0.0013058185577392578,0.0014625787734985352,0.0012781620025634766,0.0013028979301452637,0.0014601945877075195
80,0,0.0002860426902770996,0.0003522634506225586,0.00025469064712524414,0.00022304058074951172,0.00018477439880371094,0.00016063451766967773
81,0,1.0013580322265625e-05,1.5854835510253906e-05,1.9788742065429688e-05,1.9788742065429688e-05,1.3589859008789062e-05,1.0132789611816406e-05
83,0,0.0018488168716430664,0.0016366839408874512,0.0012398958206176758,0.0022287368774414062,0.0018273591995239258,0.0018439292907714844
84,0,0.00014853477478027344,0.00015431642532348633,0.0001532435417175293,0.00015336275100708008,0.00016880035400390625,0.00016951560974121094
84,1,0.005577564239501953,0.004895448684692383,0.004502773284912109,0.0050539374351501465,0.00533294677734375,0.004761636257171631
86,0,0.00013071298599243164,0.00010836124420166016,0.00010371208190917969,0.00015461444854736328,0.0001004934310913086,0.00012099742889404297
93,0,0.0007293820381164551,0.0004668235778808594,0.00035452842712402344,0.00021851062774658203,0.0004528164863586426,0.00035893917083740234
94,0,0.0043936967849731445,0.003959715366363525,0.004780113697052002,0.005292534828186035,0.0029249191284179688,0.002999424934387207
96,0,0.0363924503326416,0.029792606830596924,0.030702948570251465,0.026150822639465332,0.026716768741607666,0.029734492301940918
96,1,0.036475956439971924,0.03757333755493164,0.029152989387512207,0.03386712074279785,0.03341168165206909,0.03503614664077759
101,0,0.0005955696105957031,0.0007148981094360352,0.0007216930389404297,0.0005811452865600586,0.0008108615875244141,0.0006940960884094238
